onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
1535814,1537514.0,1.0,,,,,,,,,,,,,['bricks']
1537514,1540778.0,,,,,,,,,,,,,,no_ops
1540778,1563490.0,2.0,,,,,,,,,,,,,['bricks']
1563490,1572364.0,,,,,,,,,,,,,,no_ops
1572364,1601944.0,,,,,,,,,,,,,5.0,['xylophone']
1601944,1607690.0,,,,,,,,,,,,,,no_ops
1607690,1632272.0,3.0,,,,,,,,,,,,,['bricks']
1632272,1638154.0,,,,,,,,,,,,,,no_ops
1638154,1644002.0,4.0,,,,,,,,,,,,,['bricks']
1644002,1647606.0,,,,,,,,,,,,,,no_ops
1647606,1649238.0,5.0,,,,,,,,,,,,,['bricks']
1649238,1652944.0,,,,,,,,,,,,,,no_ops
1652944,1653896.0,7.0,,,,,,,,,,,,,['bricks']
1653896,1662056.0,,,,,,,,,,,,,,no_ops
1662056,1665184.0,8.0,,,,,,,,,,,,,['bricks']
1665184,1670046.0,,,,,,,,,,,,,,no_ops
1670046,1674908.0,9.0,,,,,,,,,,,,,['bricks']
1674908,1678716.0,,,,,,,,,,,,,,no_ops
1678716,1681742.0,10.0,,,,,,,,,,,,,['bricks']
1681742,1686162.0,,,,,,,,,,,,,,no_ops
1686162,1694458.0,11.0,,,,,,,,,,,,,['bricks']
1694458,1698164.0,,,,,,,,,,,,,,no_ops
1698164,1699558.0,,,,,,,,,,,,,8.0,['xylophone']
1699558,1704556.0,,,,,,,,,,,,,,no_ops
1704556,1708398.0,12.0,,,,,,,,,,,,,['bricks']
1708398,1712376.0,,,,,,,,,,,,,,no_ops
1712376,1725398.0,14.0,,,,,,,,,,,,,['bricks']
1725398,1729580.0,,,,,,,,,,,,,,no_ops
1729580,1730294.0,17.0,,,,,,,,,,,,,['bricks']
1730294,1733558.0,,,,,,,,,,,,,,no_ops
1733558,1744302.0,18.0,,,,,,,,,,,,,['bricks']
1744302,1748246.0,,,,,,,,,,,,,,no_ops
1748246,1757936.0,20.0,,,,,,,,,,,,,['bricks']
1757936,1761438.0,,,,,,,,,,,,,,no_ops
1761438,1762356.0,23.0,,,,,,,,,,,,,['bricks']
1762356,1768476.0,,,,,,,,,,,,,,no_ops
1768476,1770720.0,24.0,,,,,,,,,,,,,['bricks']
1770720,1775786.0,,,,,,,,,,,,,,no_ops
1775786,1776160.0,26.0,,,,,,,,,,,,,['bricks']
1776160,1781022.0,,,,,,,,,,,,,,no_ops
1781022,1782212.0,27.0,,,,,,,,,,,,,['bricks']
1782212,1786496.0,,,,,,,,,,,,,,no_ops
1786496,1786870.0,28.0,,,,,,,,,,,,,['bricks']
1786870,1790066.0,,,,,,,,,,,,,,no_ops
1790066,1792174.0,,,,,,,,,,,,,9.0,['xylophone']
1792174,1795710.0,,,,,,,,,,,,,,no_ops
1795710,1804584.0,,,,,,,,1.0,,,,,,['pig']
1804720,1806216.0,29.0,,,,,,,,,,,,,['bricks']
1807338,1808188.0,,,,,,,,2.0,,,,,,['pig']
1808188,1812880.0,,,,,,,,,,,,,,no_ops
1812880,1813492.0,30.0,,,,,,,,,,,,,['bricks']
1813764,1819918.0,,,,,,,,3.0,,,,,,['pig']
1821142,1822536.0,,,,,,,,,,,,,10.0,['xylophone']
1822808,1824950.0,,,,,,,,6.0,,,,,,['pig']
1824950,1826106.0,,,,,,,,6.0,,,,,11.0,"['pig', 'xylophone']"
1826106,1831512.0,,,,,,,,6.0,,,,,,['pig']
1831512,1832464.0,31.0,,,,,,,8.0,,,,,,"['bricks', 'pig']"
1832464,1844024.0,31.0,,,,,,,,,,,,,['bricks']
1844024,1847356.0,,,,,,,,,,,,,,no_ops
1847356,1847832.0,33.0,,,,,,,,,,,,,['bricks']
1847832,1850994.0,,,,,,,,,,,,,,no_ops
1850994,1859868.0,34.0,,,,,,,,,,,,,['bricks']
1859868,1860548.0,34.0,,,,,,,,,,,,12.0,"['bricks', 'xylophone']"
1860548,1879656.0,34.0,,,,,,,,,,,,,['bricks']
1879656,1884552.0,,,,,,,,,,,,,,no_ops
1884552,1895874.0,37.0,,,,,,,,,,,,,['bricks']
1895874,1908080.0,,,,,,,,,,,,,,no_ops
1908080,1908828.0,38.0,,,,,,,,,,,,,['bricks']
1908828,1913996.0,,,,,,,,,,,,,,no_ops
1913996,1925012.0,,,,,,,,9.0,,,,,,['pig']
1925012,1925862.0,39.0,,,,,,,9.0,,,,,,"['bricks', 'pig']"
1925862,1926304.0,,,,,,,,9.0,,,,,,['pig']
1927290,1952586.0,40.0,,,,,,,,,,,,,['bricks']
1952586,1962548.0,,,,,,,,,,,,,,no_ops
1962548,1964180.0,43.0,,,,,,,,,,,,,['bricks']
1964180,1968192.0,,,,,,,,,,,,,,no_ops
1968192,1986518.0,44.0,,,,,,,,,,,,,['bricks']
1986518,1996650.0,,,,,,,,,,,,,,no_ops
1996650,2025312.0,48.0,,,,,,,,,,,,,['bricks']
2025312,2029970.0,,,,,,,,,,,,,,no_ops
2029970,2037960.0,52.0,,,,,,,,,,,,,['bricks']
