onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
287912,289612,,,,,,,,,1.0,,,,,['popuppals']
292366,307496,,,,,,,,,,,,,1.0,['xylophone']
308244,339354,,,,,,,,,2.0,,,,,['popuppals']
339354,348262,,,,,,,,,,,,,,no_ops
348262,363664,,,,,,,,,8.0,,,,,['popuppals']
363664,369036,,,,,,,,,,,,,,no_ops
369036,370056,,,,,,,,,10.0,,,,,['popuppals']
370056,375496,,,,,,,,,,,,,,no_ops
375496,377060,,,,,,,,,11.0,,,,,['popuppals']
377060,382058,,,,,,,,,,,,,,no_ops
382058,396644,,,,,,,,,12.0,,,,,['popuppals']
397290,405314,,,,,,,,,,,,,2.0,['xylophone']
405688,415208,,,,,,,,,14.0,,,,,['popuppals']
415208,418234,,,,,,,,,,,,,,no_ops
418234,420648,,,,,,,,,16.0,,,,,['popuppals']
420648,423674,,,,,,,,,,,,,,no_ops
423674,460428,,,,,,,,,17.0,,,,,['popuppals']
460428,463556,,,,,,,,,,,,,,no_ops
463556,473280,,,,,,,,,21.0,,,,,['popuppals']
473280,474402,,,,,,,,,21.0,,,,3.0,"['popuppals', 'xylophone']"
474402,479162,,,,,,,,,,,,,3.0,['xylophone']
479162,479366,,,,,,,,,22.0,,,,3.0,"['popuppals', 'xylophone']"
479366,590988,,,,,,,,,22.0,,,,,['popuppals']
590988,609586,,,,,,,,,,,,,,no_ops
609586,616488,,,,,,,,,,,,,4.0,['xylophone']
616488,624614,,,,,,,,,,,,,,no_ops
624614,638962,,,,,,,,,,1.0,,,,['shape_sorter']
638962,648142,,,,,,,,,26.0,2.0,,,,"['popuppals', 'shape_sorter']"
648142,648958,,,,,,,,,26.0,,,,,['popuppals']
648958,650284,,,,,,,,,26.0,,,,5.0,"['popuppals', 'xylophone']"
650284,650318,,,,,,,,,26.0,,,,,['popuppals']
650318,651644,,,,,,,,,26.0,3.0,,,,"['popuppals', 'shape_sorter']"
651644,665958,,,,,,,,,26.0,,,,,['popuppals']
665958,668066,,,,,,,,,26.0,4.0,,,,"['popuppals', 'shape_sorter']"
668066,676566,,,,,,,,,,4.0,,,,['shape_sorter']
676566,691628,,,,,,,,,27.0,4.0,,,,"['popuppals', 'shape_sorter']"
691628,692580,,,,,,,,,,4.0,,,,['shape_sorter']
692580,698326,,,,,,,,,,,,,,no_ops
698326,709070,,,,,,,,,,,,,6.0,['xylophone']
709546,730966,,,,,,,,,28.0,,,,,['popuppals']
730966,737766,,,,,,,,,28.0,,,,7.0,"['popuppals', 'xylophone']"
737766,745994,,,,,,,,,28.0,,,,,['popuppals']
745994,748102,,,,,,,,,28.0,,,,8.0,"['popuppals', 'xylophone']"
748102,748136,,,,,,,,,,,,,8.0,['xylophone']
748918,759560,,,,,,,,,,5.0,,,,['shape_sorter']
759560,765646,,,,,,,,,,,,,,no_ops
765646,774860,,,,,,,,,29.0,,,,,['popuppals']
774860,782782,,,,,,,,,,,,,,no_ops
782782,782850,,,,,,,,,,,,,9.0,['xylophone']
