index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,1633530.0,1718836,['pig'],,1.0,,,,,,,,,,,,0,1
1,1718836.0,1735224,"['pig', 'xylophone']",,1.0,,6.0,,,,,,,,,,0,1
2,1735224.0,1743622,['pig'],,1.0,,,,,,,,,,,,0,1
3,1743622.0,1750184,"['pig', 'xylophone']",,1.0,,7.0,,,,,,,,,,0,1
4,1750184.0,1753312,['pig'],,1.0,,,,,,,,,,,,0,1
5,1753312.0,1754536,"['pig', 'xylophone']",,1.0,,8.0,,,,,,,,,,0,1
6,1754536.0,1822672,['pig'],,1.0,,,,,,,,,,,,0,1
7,1822672.0,1825528,"['pig', 'shape_sorter']",,1.0,,,1.0,,,,,,,,,0,1
8,1825528.0,1834130,['pig'],,1.0,,,,,,,,,,,,0,1
9,1834130.0,1835660,"['pig', 'shape_sorter_blocks']",,1.0,,,,1.0,,,,,,,,0,1
10,1835660.0,1838210,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,1.0,,,2.0,1.0,,,,,,,,0,1
11,1838210.0,1839026,"['pig', 'shape_sorter']",,1.0,,,2.0,,,,,,,,,0,1
12,1839026.0,1845180,['pig'],,1.0,,,,,,,,,,,,0,1
13,1845180.0,1850518,"['pig', 'shape_sorter']",,1.0,,,3.0,,,,,,,,,0,1
14,1850518.0,1852490,['pig'],,1.0,,,,,,,,,,,,0,1
15,1853000.0,1866804,"['shape_sorter_blocks', 'shape_sorter']",,,,,,2.0,,,,,,,,1,2
21,1866804.0,1871190,no_ops,,,,,,,,,,,,,,0,3
22,1871190.0,1875644,['shape_sorter'],,,,,6.0,,,,,,,,,1,4
23,1875644.0,1880030,no_ops,,,,,,,,,,,,,,0,5
24,1880030.0,2051866,"['shape_sorter_blocks', 'shape_sorter']",,,,,,4.0,,,,,,,,1,6
76,2051866.0,2059380,no_ops,,,,,,,,,,,,,,0,7
77,2059380.0,2111468,"['shape_sorter_blocks', 'shape_sorter']",,,,,26.0,,,,,,,,,1,8
81,2111468.0,2114664,no_ops,,,,,,,,,,,,,,0,9
82,2114664.0,2128706,"['shape_sorter_blocks', 'shape_sorter']",,,,,,24.0,,,,,,,,1,10
87,2128706.0,2131800,no_ops,,,,,,,,,,,,,,0,11
88,2131800.0,2133976,['shape_sorter'],,,,,29.0,,,,,,,,,1,12
