index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,973692.0,985864.0,no_ops,,,,,,,,,,,,,,0,1
1,985864.0,1014784.0,['pig'],,1.0,,,,,,,,,,,,0,1
2,1014784.0,1018470.0,no_ops,,,,,,,,,,,,,,0,1
3,1018470.0,1035946.0,['pig'],,2.0,,,,,,,,,,,,0,1
4,1036830.0,1053048.0,['shape_sorter'],,,,,1.0,,,,,,,,,1,2
5,1054204.0,1059610.0,['pig'],,3.0,,,,,,,,,,,,0,3
6,1060392.0,1065900.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,1.0,,,,,,,,1,4
9,1065900.0,1073822.0,no_ops,,,,,,,,,,,,,,0,5
10,1073822.0,1082356.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,2.0,,,,,,,,1,6
13,1082356.0,1090006.0,no_ops,,,,,,,,,,,,,,0,7
14,1090006.0,1110984.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,3.0,,,,,,,,1,8
20,1110984.0,1114656.0,no_ops,,,,,,,,,,,,,,0,9
21,1114656.0,1124958.0,['shape_sorter'],,,,,8.0,,,,,,,,,1,10
22,1124958.0,1130194.0,no_ops,,,,,,,,,,,,,,0,11
23,1130194.0,1155592.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,6.0,,,,,,,,1,12
29,1155592.0,1159298.0,no_ops,,,,,,,,,,,,,,0,13
30,1159298.0,1165078.0,['shape_sorter'],,,,,13.0,,,,,,,,,1,14
31,1165078.0,1169940.0,no_ops,,,,,,,,,,,,,,0,15
32,1169940.0,1183404.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,7.0,,,,,,,,1,16
35,1183404.0,1188878.0,no_ops,,,,,,,,,,,,,,0,17
36,1188878.0,1192788.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,11.0,,,,,,,,1,18
38,1192788.0,1197684.0,no_ops,,,,,,,,,,,,,,0,19
39,1197684.0,1231514.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,12.0,,,,,,,,1,20
41,1231514.0,1237362.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,4.0,,,17.0,12.0,,,,,,,,0,21
42,1237362.0,1269968.0,['pig'],,4.0,,,,,,,,,,,,0,21
43,1271668.0,1294958.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,13.0,,,,,,,,1,22
49,1294958.0,1299582.0,no_ops,,,,,,,,,,,,,,0,23
50,1299582.0,1329434.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,16.0,,,,,,,,1,24
57,1329434.0,1337764.0,no_ops,,,,,,,,,,,,,,0,25
58,1337764.0,1365032.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,18.0,,,,,,,,1,26
65,1365032.0,1371356.0,no_ops,,,,,,,,,,,,,,0,27
66,1371356.0,1391076.0,['pig'],,5.0,,,,,,,,,,,,0,27
67,1391076.0,1397434.0,no_ops,,,,,,,,,,,,,,0,27
68,1397434.0,1410592.0,['pig'],,6.0,,,,,,,,,,,,0,27
69,1410592.0,1412190.0,"['pig', 'shape_sorter_blocks']",,6.0,,,,19.0,,,,,,,,0,27
70,1412190.0,1415148.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,6.0,,,28.0,19.0,,,,,,,,0,27
71,1415148.0,1416848.0,"['pig', 'shape_sorter_blocks']",,6.0,,,,19.0,,,,,,,,0,27
72,1416848.0,1423478.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,6.0,,,29.0,19.0,,,,,,,,0,27
73,1423478.0,1425450.0,['pig'],,6.0,,,,,,,,,,,,0,27
74,1425450.0,1427048.0,"['pig', 'shape_sorter_blocks']",,6.0,,,,20.0,,,,,,,,0,27
75,1427048.0,1430210.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,6.0,,,30.0,20.0,,,,,,,,0,27
76,1430210.0,1435650.0,['pig'],,6.0,,,,,,,,,,,,0,27
77,1435650.0,1440410.0,"['pig', 'shape_sorter']",,6.0,,,31.0,,,,,,,,,0,27
78,1440410.0,1443674.0,['pig'],,6.0,,,,,,,,,,,,0,27
79,1443674.0,1445952.0,"['pig', 'shape_sorter_blocks']",,6.0,,,,21.0,,,,,,,,0,27
80,1445952.0,1449794.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,6.0,,,32.0,21.0,,,,,,,,0,27
81,1449794.0,1451018.0,['pig'],,6.0,,,,,,,,,,,,0,27
82,1451018.0,1454928.0,"['pig', 'shape_sorter_blocks']",,6.0,,,,22.0,,,,,,,,0,27
83,1454928.0,1457988.0,"['pig', 'shape_sorter', 'shape_sorter_blocks']",,6.0,,,33.0,22.0,,,,,,,,0,27
84,1457988.0,1459212.0,['pig'],,6.0,,,,,,,,,,,,0,27
85,1459212.0,1462578.0,"['pig', 'shape_sorter_blocks']",,6.0,,,,23.0,,,,,,,,0,27
86,1462578.0,1467576.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,23.0,,,,,,,,1,28
88,1468426.0,1469106.0,['pig'],,7.0,,,,,,,,,,,,0,29
89,1469106.0,1484236.0,no_ops,,,,,,,,,,,,,,0,29
90,1484236.0,1484950.0,['pig'],,8.0,,,,,,,,,,,,0,29
