onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
2818532.0,2835090,no_ops,,,,,,,,,,,,,
2835090.0,2840122,['pig'],,4.0,,,,,,,,,,,
2840122.0,2878304,"['pig', 'xylophone']",,4.0,,8.0,,,,,,,,,
2878304.0,2881058,['pig'],,4.0,,,,,,,,,,,
2881058.0,2889218,no_ops,,,,,,,,,,,,,
2889218.0,2897140,['popuppals'],,,1.0,,,,,,,,,,
2897140.0,2909856,no_ops,,,,,,,,,,,,,
2909856.0,2916622,['xylophone'],,,,9.0,,,,,,,,,
2916622.0,2936172,no_ops,,,,,,,,,,,,,
2936172.0,2937838,['popuppals'],,,2.0,,,,,,,,,,
2937838.0,2945862,no_ops,,,,,,,,,,,,,
2945862.0,2952492,['popuppals'],,,3.0,,,,,,,,,,
2952492.0,2955586,no_ops,,,,,,,,,,,,,
2955586.0,2959190,['popuppals'],,,5.0,,,,,,,,,,
2959190.0,2970988,no_ops,,,,,,,,,,,,,
2970988.0,2973198,['popuppals'],,,7.0,,,,,,,,,,
2973198.0,2979114,no_ops,,,,,,,,,,,,,
2979114.0,2987886,['popuppals'],,,8.0,,,,,,,,,,
2987886.0,2997168,no_ops,,,,,,,,,,,,,
2997168.0,3000806,['popuppals'],,,11.0,,,,,,,,,,
3000806.0,3013216,no_ops,,,,,,,,,,,,,
3013216.0,3019948,['popuppals'],,,12.0,,,,,,,,,,
3019948.0,3023450,no_ops,,,,,,,,,,,,,
3023450.0,3029264,['popuppals'],,,14.0,,,,,,,,,,
3029264.0,3042320,no_ops,,,,,,,,,,,,,
3042320.0,3067378,['popuppals'],,,16.0,,,,,,,,,,
3067378.0,3074824,no_ops,,,,,,,,,,,,,
3074824.0,3076150,['popuppals'],,,19.0,,,,,,,,,,
3076150.0,3081998,no_ops,,,,,,,,,,,,,
3081998.0,3349408,['popuppals'],,,20.0,,,,,,,,,,
