onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
267512,296004.0,,,,,,,,,,,,,1.0,['xylophone']
298588,377808.0,,,,,,,,,1.0,,,,,['popuppals']
377808,382058.0,,,,,,,,,,,,,,no_ops
382058,415888.0,,,,,,,,,,,,,4.0,['xylophone']
415922,417044.0,,,,,,,,,3.0,,,,,['popuppals']
417180,418574.0,,,,,,,,,,,,,7.0,['xylophone']
418914,424150.0,,,,,,,,,4.0,,,,,['popuppals']
424558,427108.0,,,,,,,,,,,,,8.0,['xylophone']
427482,436866.0,,,,,,,,,5.0,,,,,['popuppals']
436866,437852.0,,,,,,,,,5.0,,,,9.0,"['popuppals', 'xylophone']"
437852,469166.0,,,,,,,,,5.0,,,,,['popuppals']
470016,471342.0,,,,,,,,,,,,,10.0,['xylophone']
471342,473518.0,,,,,,,,,7.0,,,,10.0,"['popuppals', 'xylophone']"
473518,473892.0,,,,,,,,,,,,,10.0,['xylophone']
475116,486574.0,,,,,,,,,8.0,,,,,['popuppals']
487254,494700.0,,,,,,,,,,,,,11.0,['xylophone']
495992,513604.0,,,,,,,,,11.0,,,,,['popuppals']
514250,525572.0,,,,,,,,,,,,,12.0,['xylophone']
525776,607036.0,,,,,,,,,12.0,,,,,['popuppals']
607036,618358.0,,,,,,,,,,,,,,no_ops
618358,619140.0,,,,,,,,,,,,,13.0,['xylophone']
620092,626042.0,,,,,,,,,17.0,,,,,['popuppals']
626042,634576.0,,,,,,,,,,,,,,no_ops
634576,649332.0,,,,,,,,,,1.0,,,,['shape_sorter']
649332,654636.0,,,,,,,,,,,,,,no_ops
654636,658648.0,,,,,,,,,,,,,14.0,['xylophone']
658648,660416.0,,,,,,,,,19.0,,,,14.0,"['popuppals', 'xylophone']"
660416,660688.0,,,,,,,,,,,,,14.0,['xylophone']
660688,666128.0,,,,,,,,,,,,,,no_ops
666128,689962.0,,,,,,,,1.0,,,,,,['pig']
689962,696762.0,,,,,,,,1.0,,2.0,,,,"['pig', 'shape_sorter']"
696762,700366.0,,,,,,,,1.0,,,,,,['pig']
700366,711586.0,,,,,,,,1.0,,3.0,,,,"['pig', 'shape_sorter']"
711586,713082.0,,,,,,,,1.0,,,,,,['pig']
713728,716414.0,,,,,,,,,,4.0,,,,['shape_sorter']
717094,717230.0,,,,,,,,2.0,,,,,,['pig']
717740,725050.0,,,,,,,,,,5.0,,,,['shape_sorter']
725050,745722.0,,,,,,,,,,,,,,no_ops
745722,751332.0,,,,,,,,,,7.0,,,,['shape_sorter']
751332,755752.0,,,,,,,,,,,,,,no_ops
755752,769216.0,,,,,,,,,,8.0,,,,['shape_sorter']
