onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
306442.0,318240,no_ops,,,,,,,,,,,,,
318240.0,335580,['xylophone'],,,,1.0,,,,,,,,,
335580.0,341938,no_ops,,,,,,,,,,,,,
341938.0,363494,['popuppals'],,,1.0,,,,,,,,,,
363494.0,368186,no_ops,,,,,,,,,,,,,
368186.0,371178,['popuppals'],,,3.0,,,,,,,,,,
371178.0,375428,no_ops,,,,,,,,,,,,,
375428.0,417696,['popuppals'],,,4.0,,,,,,,,,,
417696.0,421736,no_ops,,,,,,,,,,,,,
421736.0,474504,['popuppals'],,,6.0,,,,,,,,,,
475490.0,496842,['xylophone'],,,,2.0,,,,,,,,,
496842.0,499562,"['popuppals', 'xylophone']",,,8.0,2.0,,,,,,,,,
500752.0,503098,['popuppals'],,,9.0,,,,,,,,,,
503098.0,512958,no_ops,,,,,,,,,,,,,
512958.0,513094,['xylophone'],,,,3.0,,,,,,,,,
515508.0,518704,['popuppals'],,,10.0,,,,,,,,,,
518704.0,522002,no_ops,,,,,,,,,,,,,
522002.0,523702,['xylophone'],,,,4.0,,,,,,,,,
523702.0,528564,no_ops,,,,,,,,,,,,,
528564.0,539070,['popuppals'],,,11.0,,,,,,,,,,
539716.0,541790,['xylophone'],,,,5.0,,,,,,,,,
543796.0,554642,['popuppals'],,,12.0,,,,,,,,,,
554642.0,561102,no_ops,,,,,,,,,,,,,
561102.0,587622,['popuppals'],,,14.0,,,,,,,,,,
587622.0,591328,no_ops,,,,,,,,,,,,,
591328.0,640900,['popuppals'],,,16.0,,,,,,,,,,
642804.0,644266,['xylophone'],,,,6.0,,,,,,,,,
644266.0,649196,no_ops,,,,,,,,,,,,,
649196.0,655554,['popuppals'],,,17.0,,,,,,,,,,
658444.0,667148,['xylophone'],,,,7.0,,,,,,,,,
667794.0,669970,['popuppals'],,,18.0,,,,,,,,,,
671024.0,676226,['xylophone'],,,,8.0,,,,,,,,,
676226.0,679422,no_ops,,,,,,,,,,,,,
679422.0,688602,['popuppals'],,,19.0,,,,,,,,,,
688976.0,691560,['xylophone'],,,,9.0,,,,,,,,,
692206.0,711042,['popuppals'],,,21.0,,,,,,,,,,
711042.0,714850,no_ops,,,,,,,,,,,,,
714850.0,716346,['xylophone'],,,,10.0,,,,,,,,,
717230.0,725560,['popuppals'],,,22.0,,,,,,,,,,
725560.0,731714,no_ops,,,,,,,,,,,,,
731714.0,770338,['popuppals'],,,23.0,,,,,,,,,,
770746.0,782884,['xylophone'],,,,11.0,,,,,,,,,
783938.0,793288,['popuppals'],,,26.0,,,,,,,,,,
793798.0,794308,['xylophone'],,,,12.0,,,,,,,,,
794784.0,802604,['popuppals'],,,27.0,,,,,,,,,,
