index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,1092760,1102484.0,,,,,,,,,,,,,1.0,['xylophone'],0,1
1,1102484,1111392.0,,,,,,,,,,,,,,no_ops,0,1
2,1111392,1148758.0,,,,,,,,,,,,,2.0,['xylophone'],0,1
3,1148758,1151988.0,,,,,,,,,,,,,,no_ops,0,1
4,1151988,1405050.0,,,,,,,,,1.0,,,,,['popuppals'],0,1
5,1405050,1411068.0,,,,,,,,,,,,,,no_ops,0,1
6,1411068,1416440.0,,,,,,,,,2.0,,,,,['popuppals'],0,1
7,1416440,1427150.0,,,,,,,,,,,,,,no_ops,0,1
8,1427150,1429360.0,,,,,,,,1.0,,,,,,['pig'],0,1
9,1429904,1447890.0,,,,,,,,,3.0,,,,,['popuppals'],0,1
10,1447890,1448332.0,,,,,,,,,3.0,1.0,,,,"['popuppals', 'shape_sorter']",0,1
11,1448332,1553902.0,,,,,,,,,,1.0,,,,"['shape_sorter_blocks', 'shape_sorter']",1,2
18,1553902,1556146.0,,,,,,,,,4.0,3.0,,,,"['popuppals', 'shape_sorter']",0,3
19,1556146,1582258.0,,,,,,,,,4.0,,,,,['popuppals'],0,3
20,1582530,1596538.0,1.0,,,,,,,,,,,,,['bricks'],0,3
21,1596538,1599088.0,1.0,,,,,,,,5.0,,,,,"['bricks', 'popuppals']",0,3
22,1599088,1599394.0,,,,,,,,,5.0,,,,,['popuppals'],0,3
