index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,360332.0,371076.0,no_ops,,,,,,,,,,,,,,0,1
1,371076.0,378148.0,['xylophone'],,,,1.0,,,,,,,,,,0,1
2,378148.0,381378.0,no_ops,,,,,,,,,,,,,,0,1
3,381378.0,399772.0,['popuppals'],,,1.0,,,,,,,,,,,0,1
4,399772.0,412862.0,no_ops,,,,,,,,,,,,,,0,1
5,412862.0,440266.0,['popuppals'],,,2.0,,,,,,,,,,,0,1
6,440266.0,444074.0,no_ops,,,,,,,,,,,,,,0,1
7,444074.0,445808.0,['popuppals'],,,6.0,,,,,,,,,,,0,1
8,445808.0,458150.0,no_ops,,,,,,,,,,,,,,0,1
9,458150.0,463046.0,['shape_sorter'],,,,,1.0,,,,,,,,,1,2
10,463046.0,470764.0,no_ops,,,,,,,,,,,,,,0,3
11,470764.0,474300.0,['pig'],,1.0,,,,,,,,,,,,0,3
12,474300.0,478958.0,no_ops,,,,,,,,,,,,,,0,3
13,478958.0,487968.0,['bricks'],1.0,,,,,,,,,,,,,0,3
14,487968.0,511836.0,no_ops,,,,,,,,,,,,,,0,3
15,511836.0,514794.0,['bricks'],2.0,,,,,,,,,,,,,0,3
16,514794.0,533868.0,no_ops,,,,,,,,,,,,,,0,3
17,533868.0,537914.0,['bricks'],3.0,,,,,,,,,,,,,0,3
18,537914.0,556716.0,no_ops,,,,,,,,,,,,,,0,3
19,556716.0,556954.0,['bricks'],4.0,,,,,,,,,,,,,0,3
20,556954.0,570758.0,no_ops,,,,,,,,,,,,,,0,3
21,570758.0,573920.0,['xylophone'],,,,3.0,,,,,,,,,,0,3
22,574940.0,584392.0,['popuppals'],,,7.0,,,,,,,,,,,0,3
23,584392.0,603500.0,no_ops,,,,,,,,,,,,,,0,3
24,603500.0,611830.0,['bricks'],5.0,,,,,,,,,,,,,0,3
25,611830.0,622336.0,no_ops,,,,,,,,,,,,,,0,3
26,622336.0,632740.0,['xylophone'],,,,4.0,,,,,,,,,,0,3
27,632740.0,638554.0,no_ops,,,,,,,,,,,,,,0,3
28,638554.0,658070.0,['popuppals'],,,8.0,,,,,,,,,,,0,3
29,658070.0,659566.0,"['popuppals', 'xylophone']",,,8.0,5.0,,,,,,,,,,0,3
30,659566.0,659872.0,['popuppals'],,,8.0,,,,,,,,,,,0,3
31,659872.0,664938.0,no_ops,,,,,,,,,,,,,,0,3
32,664938.0,668814.0,['pig'],,2.0,,,,,,,,,,,,0,3
33,668814.0,673778.0,no_ops,,,,,,,,,,,,,,0,3
34,673778.0,684182.0,['bricks'],7.0,,,,,,,,,,,,,0,3
35,684182.0,687718.0,no_ops,,,,,,,,,,,,,,0,3
36,687718.0,690404.0,['bricks'],10.0,,,,,,,,,,,,,0,3
37,690404.0,716652.0,no_ops,,,,,,,,,,,,,,0,3
38,716652.0,772956.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,2.0,,,,,,,,,1,4
49,772956.0,776288.0,no_ops,,,,,,,,,,,,,,0,5
50,776288.0,789004.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,5.0,,,,,,,,1,6
53,789004.0,797436.0,no_ops,,,,,,,,,,,,,,0,7
54,797436.0,805698.0,['bricks'],11.0,,,,,,,,,,,,,0,7
55,805698.0,814096.0,no_ops,,,,,,,,,,,,,,0,7
56,814096.0,820930.0,['popuppals'],,,9.0,,,,,,,,,,,0,7
57,820930.0,824942.0,no_ops,,,,,,,,,,,,,,0,7
58,824942.0,829192.0,['popuppals'],,,10.0,,,,,,,,,,,0,7
59,829192.0,840684.0,no_ops,,,,,,,,,,,,,,0,7
60,840684.0,843744.0,['bricks'],13.0,,,,,,,,,,,,,0,7
61,843744.0,851938.0,no_ops,,,,,,,,,,,,,,0,7
