index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,2174980,2182290,,,,,,,,,,1.0,,,,['shape_sorter'],1,1
1,2182290,2198270,,,,,,,,,,,,,,no_ops,0,2
2,2198270,2245462,,,,,,,,,,2.0,,,,"['shape_sorter_blocks', 'shape_sorter']",1,3
6,2245462,2253316,,,,,,,,,,,,,,no_ops,0,4
7,2253316,2347088,,,,,,,,,,,2.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,5
21,2348074,2383264,,,,,,,,,9.0,,,,,['popuppals'],0,6
22,2383264,2387038,,,,,,,,,,,,,,no_ops,0,6
23,2387038,2474758,,,,,,,,,10.0,,,,,['popuppals'],0,6
24,2475710,2477308,,,,,,,,,,12.0,,,,['shape_sorter'],1,7
25,2477784,2484074,,,,,,,,,13.0,,,,,['popuppals'],0,8
26,2484550,2503454,,,,,,,,,,13.0,,,,['shape_sorter'],1,9
27,2503454,2515422,,,,,,,,,,,,,,no_ops,0,10
28,2515422,2536298,,,,,,,,,,14.0,,,,['shape_sorter'],1,11
29,2536298,2546260,,,,,,,,,,,,,,no_ops,0,12
30,2546260,2550476,,,,,,,,,,,,,4.0,['xylophone'],0,12
31,2550476,2562988,,,,,,,,,,,,,,no_ops,0,12
32,2562988,2620448,,,,,,,,,,,5.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,13
37,2620448,2626942,,,,,,,,,,,,,,no_ops,0,14
38,2626942,2642174,,,,,,,,,,18.0,,,,['shape_sorter'],1,15
39,2642174,2646288,,,,,,,,,,,,,,no_ops,0,16
40,2646288,2672876,,,,,,,,,,20.0,,,,"['shape_sorter_blocks', 'shape_sorter']",1,17
