index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,2442220.0,2462722.0,no_ops,,,,,,,,,,,,,,0,1
1,2462722.0,2479756.0,['xylophone'],,,,2.0,,,,,,,,,,0,1
2,2479756.0,2483428.0,no_ops,,,,,,,,,,,,,,0,1
3,2483428.0,2537896.0,['xylophone'],,,,4.0,,,,,,,,,,0,1
4,2537896.0,2551802.0,no_ops,,,,,,,,,,,,,,0,1
5,2551802.0,2554624.0,['xylophone'],,,,5.0,,,,,,,,,,0,1
6,2554624.0,2560846.0,no_ops,,,,,,,,,,,,,,0,1
7,2560846.0,2573494.0,['xylophone'],,,,6.0,,,,,,,,,,0,1
8,2573494.0,2582912.0,no_ops,,,,,,,,,,,,,,0,1
9,2582912.0,2587774.0,['shape_sorter'],,,,,7.0,,,,,,,,,1,2
10,2587774.0,2609534.0,no_ops,,,,,,,,,,,,,,0,3
11,2609534.0,2611404.0,['bricks'],7.0,,,,,,,,,,,,,0,3
12,2611404.0,2632960.0,no_ops,,,,,,,,,,,,,,0,3
13,2632960.0,2662676.0,['bricks'],8.0,,,,,,,,,,,,,0,3
14,2662676.0,2726222.0,no_ops,,,,,,,,,,,,,,0,3
15,2726222.0,2746112.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,8.0,,,,,,,,,1,4
21,2746112.0,2790652.0,no_ops,,,,,,,,,,,,,,0,5
22,2790652.0,2793542.0,['xylophone'],,,,9.0,,,,,,,,,,0,5
23,2793542.0,2894046.0,no_ops,,,,,,,,,,,,,,0,5
24,2894046.0,2896460.0,['popuppals'],,,3.0,,,,,,,,,,,0,5
25,2896460.0,2916758.0,no_ops,,,,,,,,,,,,,,0,5
26,2916758.0,2926992.0,['popuppals'],,,4.0,,,,,,,,,,,0,5
27,2926992.0,2934098.0,no_ops,,,,,,,,,,,,,,0,5
