onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
1902572.0,1907502.0,['bricks'],1.0,,,,,,,,,,,,
1907502.0,1911208.0,no_ops,,,,,,,,,,,,,
1911208.0,1918246.0,['bricks'],2.0,,,,,,,,,,,,
1918246.0,1921306.0,no_ops,,,,,,,,,,,,,
1921306.0,1949152.0,['bricks'],3.0,,,,,,,,,,,,
1949152.0,1961426.0,no_ops,,,,,,,,,,,,,
1961426.0,1965064.0,['bricks'],7.0,,,,,,,,,,,,
1965064.0,1998826.0,no_ops,,,,,,,,,,,,,
1998826.0,2014330.0,['pig'],,4.0,,,,,,,,,,,
2014330.0,2017594.0,no_ops,,,,,,,,,,,,,
2017594.0,2019124.0,['pig'],,5.0,,,,,,,,,,,
2019124.0,2045270.0,no_ops,,,,,,,,,,,,,
2045270.0,2116908.0,['popuppals'],,,1.0,,,,,,,,,,
2116908.0,2120376.0,no_ops,,,,,,,,,,,,,
2120376.0,2210204.0,['popuppals'],,,3.0,,,,,,,,,,
2210204.0,2216732.0,no_ops,,,,,,,,,,,,,
2216732.0,2222750.0,['popuppals'],,,6.0,,,,,,,,,,
2222750.0,2232576.0,no_ops,,,,,,,,,,,,,
2232576.0,2236180.0,['bricks'],8.0,,,,,,,,,,,,
2236180.0,2243218.0,no_ops,,,,,,,,,,,,,
2243218.0,2279666.0,['popuppals'],,,7.0,,,,,,,,,,
2279666.0,2282930.0,no_ops,,,,,,,,,,,,,
2282930.0,2321860.0,['popuppals'],,,9.0,,,,,,,,,,
2321860.0,2365584.0,no_ops,,,,,,,,,,,,,
2365584.0,2368746.0,['xylophone'],,,,2.0,,,,,,,,,
2368746.0,2372860.0,no_ops,,,,,,,,,,,,,
2372860.0,2373778.0,['popuppals'],,,11.0,,,,,,,,,,
2373778.0,2392750.0,no_ops,,,,,,,,,,,,,
