index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,244800.0,252552,no_ops,,,,,,,,,,,,,,0,1
1,252552.0,276556,['xylophone'],,,,1.0,,,,,,,,,,0,1
2,276556.0,282608,no_ops,,,,,,,,,,,,,,0,1
3,282608.0,290802,['popuppals'],,,1.0,,,,,,,,,,,0,1
4,290802.0,295698,no_ops,,,,,,,,,,,,,,0,1
5,295698.0,308006,['popuppals'],,,2.0,,,,,,,,,,,0,1
6,308006.0,313820,no_ops,,,,,,,,,,,,,,0,1
7,313820.0,339558,['popuppals'],,,4.0,,,,,,,,,,,0,1
8,339558.0,343536,no_ops,,,,,,,,,,,,,,0,1
9,343536.0,351730,['popuppals'],,,6.0,,,,,,,,,,,0,1
10,351730.0,375224,no_ops,,,,,,,,,,,,,,0,1
11,375224.0,378760,['shape_sorter'],,,,,1.0,,,,,,,,,1,2
12,378760.0,385084,no_ops,,,,,,,,,,,,,,0,3
13,385084.0,593164,"['shape_sorter_blocks', 'shape_sorter']",,,,,2.0,,,,,,,,,1,4
50,593164.0,597040,no_ops,,,,,,,,,,,,,,0,5
51,597040.0,704616,"['shape_sorter_blocks', 'shape_sorter']",,,,,21.0,,,,,,,,,1,6
69,704616.0,708526,no_ops,,,,,,,,,,,,,,0,7
70,708526.0,734570,"['shape_sorter_blocks', 'shape_sorter']",,,,,,12.0,,,,,,,,1,8
77,734570.0,740554,no_ops,,,,,,,,,,,,,,0,9
78,740554.0,749224,['shape_sorter'],,,,,33.0,,,,,,,,,1,10
