index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,1778540.0,1787652,no_ops,,,,,,,,,,,,,,0,1
1,1787652.0,1812370,"['shape_sorter_blocks', 'shape_sorter']",,,,,5.0,5.0,,,,,,,,1,2
9,1812370.0,1815396,no_ops,,,,,,,,,,,,,,0,3
10,1815396.0,1909610,"['shape_sorter_blocks', 'shape_sorter']",,,,,,6.0,,,,,,,,1,4
28,1909610.0,1923380,no_ops,,,,,,,,,,,,,,0,5
29,1923380.0,1924808,['shape_sorter'],,,,,17.0,,,,,,,,,1,6
30,1924808.0,1970198,no_ops,,,,,,,,,,,,,,0,7
31,1970198.0,1982948,['bricks'],3.0,,,,,,,,,,,,,0,7
32,1982948.0,1986858,"['bricks', 'shape_sorter']",3.0,,,,18.0,,,,,,,,,0,7
33,1986858.0,1987742,['bricks'],3.0,,,,,,,,,,,,,0,7
34,1987742.0,1991992,no_ops,,,,,,,,,,,,,,0,7
35,1991992.0,2018886,['shape_sorter'],,,,,19.0,,,,,,,,,1,8
36,2018886.0,2024802,no_ops,,,,,,,,,,,,,,0,9
37,2024802.0,2032554,"['shape_sorter_blocks', 'shape_sorter']",,,,,,9.0,,,,,,,,1,10
40,2032554.0,2036022,no_ops,,,,,,,,,,,,,,0,11
41,2036022.0,2099024,"['shape_sorter_blocks', 'shape_sorter']",,,,,,10.0,,,,,,,,1,12
54,2099024.0,2099466,"['bricks', 'shape_sorter_blocks']",4.0,,,,,10.0,,,,,,,,0,13
55,2099466.0,2103546,['shape_sorter_blocks'],,,,,,10.0,,,,,,,,1,14
56,2103546.0,2103920,"['bricks', 'shape_sorter_blocks']",5.0,,,,,10.0,,,,,,,,0,15
57,2103920.0,2124626,"['shape_sorter_blocks', 'shape_sorter']",,,,,,10.0,,,,,,,,1,16
60,2124626.0,2128910,no_ops,,,,,,,,,,,,,,0,17
61,2128910.0,2133806,['shape_sorter'],,,,,28.0,,,,,,,,,1,18
62,2133806.0,2140096,no_ops,,,,,,,,,,,,,,0,19
63,2140096.0,2147780,['bricks'],6.0,,,,,,,,,,,,,0,19
64,2147780.0,2156960,no_ops,,,,,,,,,,,,,,0,19
65,2156960.0,2169676,['shape_sorter'],,,,,29.0,,,,,,,,,1,20
66,2169676.0,2172872,no_ops,,,,,,,,,,,,,,0,21
67,2172872.0,2212754,"['shape_sorter_blocks', 'shape_sorter']",,,,,31.0,,,,,,,,,1,22
78,2212754.0,2221696,no_ops,,,,,,,,,,,,,,0,23
79,2221696.0,2235058,['shape_sorter'],,,,,36.0,,,,,,,,,1,24
80,2235058.0,2241484,no_ops,,,,,,,,,,,,,,0,25
81,2241484.0,2248964,"['shape_sorter_blocks', 'shape_sorter']",,,,,,13.0,,,,,,,,1,26
84,2248964.0,2252466,no_ops,,,,,,,,,,,,,,0,27
85,2252466.0,2275926,"['shape_sorter_blocks', 'shape_sorter']",,,,,,14.0,,,,,,,,1,28
90,2275926.0,2283134,no_ops,,,,,,,,,,,,,,0,29
91,2283134.0,2288268,['shape_sorter'],,,,,40.0,,,,,,,,,1,30
92,2288268.0,2302582,no_ops,,,,,,,,,,,,,,0,31
93,2302582.0,2313054,['shape_sorter'],,,,,41.0,,,,,,,,,1,32
