index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,2187730,2229618.0,,,,,,,,,,6.0,2.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,1
9,2229618,2234140.0,,,,,,,,,,,,,,no_ops,0,2
10,2234140,2240464.0,,,,,,,,,,10.0,,,,['shape_sorter'],1,3
11,2240464,2244884.0,,,,,,,,,,,,,,no_ops,0,4
12,2244884,2249610.0,,,,,,,,,,,4.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,5
14,2249610,2253724.0,,,,,,,,,,,,,,no_ops,0,6
15,2253724,2277592.0,,,,,,,,,,12.0,,,,"['shape_sorter_blocks', 'shape_sorter']",1,7
21,2277592,2285888.0,,,,,,,,,,,,,,no_ops,0,8
22,2285888,2286194.0,,,,,,,,,,15.0,,,,['shape_sorter'],1,9
23,2286194,2293436.0,,,,,,,,,,,,,,no_ops,0,10
24,2293436,2343586.0,,,,,,,,,,,6.0,,,"['shape_sorter_blocks', 'shape_sorter']",1,11
28,2343586,2353922.0,,,,,,,,,,,,,,no_ops,0,12
29,2353922,2356846.0,,,,,,,,,,,7.0,,,['shape_sorter_blocks'],1,13
30,2356846,2374764.0,,,,,,,,,,,,,,no_ops,0,14
31,2374764,2380136.0,,,,,,,,1.0,,,,,,['pig'],0,14
32,2380136,2388738.0,,,,,,,,,,,,,,no_ops,0,14
33,2388738,2444940.0,1.0,,,,,,,,,,,,,['bricks'],0,14
34,2444940,2449292.0,2.0,,,,,,,2.0,,,,,,"['bricks', 'pig']",0,14
35,2449292,2450958.0,,,,,,,,2.0,,,,,,['pig'],0,14
36,2450958,2456738.0,,,,,,,,,,,,,,no_ops,0,14
37,2456738,2484958.0,3.0,,,,,,,,,,,,,['bricks'],0,14
38,2484958,2488392.0,,,,,,,,,,,,,,no_ops,0,14
39,2488392,2512702.0,4.0,,,,,,,,,,,,,['bricks'],0,14
40,2512702,2516306.0,,,,,,,,,,,,,,no_ops,0,14
41,2516306,2544308.0,9.0,,,,,,,,,,,,,['bricks'],0,14
42,2544308,2552346.0,,,,,,,,,,,,,,no_ops,0,14
43,2552346,2556766.0,10.0,,,,,,,,,,,,,['bricks'],0,14
44,2556766,2563770.0,,,,,,,,,,,,,,no_ops,0,14
45,2563770,2567068.0,,,,,,,,3.0,,,,,,['pig'],0,14
46,2568190,2607596.0,12.0,,,,,,,,,,,,,['bricks'],0,14
47,2607596,2608480.0,12.0,,,,,,,4.0,,,,,,"['bricks', 'pig']",0,14
48,2608480,2610316.0,,,,,,,,4.0,,,,,,['pig'],0,14
49,2612016,2632144.0,13.0,,,,,,,,,,,,,['bricks'],0,14
50,2632144,2648838.0,,,,,,,,,,,,,,no_ops,0,14
51,2648838,2652612.0,,,,,,,,,,,,,3.0,['xylophone'],0,14
52,2652612,2664274.0,,,,,,,,,,,,,,no_ops,0,14
