onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
2416788,2428654.0,,,,,,,,,12.0,,,,,['popuppals']
2428654,2435352.0,,,,,,,,,,,,,,no_ops
2435352,2447762.0,,,,,,,,,13.0,,,,,['popuppals']
2447762,2452488.0,,,,,,,,,,,,,,no_ops
2452488,2455990.0,,,,,,,,,14.0,,,,,['popuppals']
2455990,2462858.0,,,,,,,,,,,,,,no_ops
2462858,2463436.0,,,,,,,,,15.0,,,,,['popuppals']
2463436,2476764.0,,,,,,,,,,,,,,no_ops
2476764,2488698.0,,,,,,,,,,2.0,,,,['shape_sorter']
2488698,2501142.0,,,,,,,,,,,,,,no_ops
2501142,2511750.0,,,,,,,,,,3.0,,,,['shape_sorter']
2511750,2515762.0,,,,,,,,,,,,,,no_ops
2515762,2534802.0,,,,,,,,2.0,,,,,,['pig']
2534802,2537420.0,1.0,,,,,,,2.0,,,,,,"['bricks', 'pig']"
2537420,2538610.0,1.0,,,,,,,,,,,,,['bricks']
2538610,2543710.0,1.0,,,,,,,3.0,,,,,,"['bricks', 'pig']"
2543710,2551462.0,1.0,,,,,,,,,,,,,['bricks']
2551462,2555916.0,,,,,,,,,,,,,,no_ops
2555916,2557514.0,2.0,,,,,,,,,,,,,['bricks']
2560064,2563498.0,,,,,,,,4.0,,,,,,['pig']
2563498,2569176.0,3.0,,,,,,,4.0,,,,,,"['bricks', 'pig']"
2569176,2575908.0,,,,,,,,4.0,,,,,,['pig']
2575908,2590426.0,,,,,,,,,,,,,,no_ops
2590426,2623712.0,,,,,,,,5.0,,,,,,['pig']
2623712,2637278.0,,,,,,,,,,,,,,no_ops
2637278,2637754.0,,,,,,,,7.0,,,,,,['pig']
2638502,2638740.0,4.0,,,,,,,,,,,,,['bricks']
2638740,2645302.0,,,,,,,,,,,,,,no_ops
2645302,2665362.0,5.0,,,,,,,,,,,,,['bricks']
2666348,2675766.0,,,,,,,,8.0,,,,,,['pig']
2675766,2678792.0,,,,,,,,,,,,,,no_ops
2678792,2683518.0,,,,,,,,9.0,,,,,,['pig']
2683518,2687530.0,,,,,,,,,,,,,,no_ops
2687530,2743426.0,,,,,,,,10.0,,,,,,['pig']
2743426,2745262.0,8.0,,,,,,,10.0,,,,,,"['bricks', 'pig']"
2745262,2746078.0,,,,,,,,10.0,,,,,,['pig']
2746078,2751144.0,9.0,,,,,,,10.0,,,,,,"['bricks', 'pig']"
2751144,2753014.0,9.0,,,,,,,,,,,,,['bricks']
2754102,2760460.0,,,,,,,,11.0,,,,,,['pig']
2760460,2765730.0,10.0,,,,,,,11.0,,,,,,"['bricks', 'pig']"
2765730,2794222.0,10.0,,,,,,,,,,,,,['bricks']
2796670,2838490.0,,,,,,,,12.0,,,,,,['pig']
2838490,2851206.0,,,,,,,,,,,,,,no_ops
2851206,2868614.0,,,,,,,,,,,,,12.0,['xylophone']
2868614,2874122.0,,,,,,,,,,,,,,no_ops
2874122,2883982.0,,,,,,,,,,,,,13.0,['xylophone']
2883982,2894114.0,,,,,,,,,,,,,,no_ops
2894114,2900132.0,,,,,,,,,16.0,,,,,['popuppals']
2900132,2905062.0,,,,,,,,,,,,,,no_ops
2905062,2910400.0,,,,,,,,,18.0,,,,,['popuppals']
2910400,2913970.0,,,,,,,,,,,,,,no_ops
