index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,1890536,1951770.0,,,,,,,,,,1.0,,,,['shape_sorter'],1,1
1,1951770,1958638.0,,,,,,,,,,,,,,no_ops,0,2
2,1958638,2018070.0,,,,,,,,,,2.0,,,,['shape_sorter'],1,3
3,2018070,2024360.0,,,,,,,,,,,,,,no_ops,0,4
4,2024360,2025074.0,,,,,,,,,,3.0,,,,['shape_sorter'],1,5
5,2025074,2030310.0,,,,,,,,,,,,,,no_ops,0,6
6,2030310,2030786.0,,,,,,,,,,4.0,,,,['shape_sorter'],1,7
7,2030786,2035954.0,,,,,,,,,,,,,,no_ops,0,8
8,2035954,2079134.0,,,,,,,,,,5.0,,,,['shape_sorter'],1,9
9,2079950,2110822.0,,,,,,,,,,,,,3.0,['xylophone'],0,10
10,2111332,2128026.0,,,,,,,,,,,1.0,,,['shape_sorter_blocks'],1,11
11,2129284,2170696.0,,,,,,,,,,,,,5.0,['xylophone'],0,12
12,2170696,2178380.0,,,,,,,,,,,,,,no_ops,0,12
13,2178380,2182256.0,,,,,,,,,,6.0,,,,['shape_sorter'],1,13
14,2182256,2187016.0,,,,,,,,,,6.0,,,6.0,"['xylophone', 'shape_sorter']",0,14
15,2187016,2188002.0,,,,,,,,,,,,,6.0,['xylophone'],0,14
16,2188580,2218840.0,,,,,,,,,,,2.0,,,['shape_sorter_blocks'],1,15
17,2218840,2222274.0,,,,,,,,,,,,,,no_ops,0,16
18,2222274,2222784.0,,,,,,,,,,,3.0,,,['shape_sorter_blocks'],1,17
19,2222784,2240056.0,,,,,,,,,,,,,,no_ops,0,18
20,2240056,2264162.0,,,,,,,,,3.0,,,,,['popuppals'],0,18
21,2264162,2272016.0,,,,,,,,,,,,,,no_ops,0,18
22,2272016,2361776.0,,,,,,,,,4.0,,,,,['popuppals'],0,18
23,2361776,2364870.0,,,,,,,,,,,,,,no_ops,0,18
24,2364870,2395028.0,,,,,,,,,8.0,,,,,['popuppals'],0,18
