onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
992562.0,1009358,['popuppals'],,,1.0,,,,,,,,,,
1009358.0,1013370,no_ops,,,,,,,,,,,,,
1013370.0,1035980,['popuppals'],,,2.0,,,,,,,,,,
1035980.0,1040128,no_ops,,,,,,,,,,,,,
1040128.0,1049750,['popuppals'],,,4.0,,,,,,,,,,
1049750.0,1065390,no_ops,,,,,,,,,,,,,
1065390.0,1092148,['popuppals'],,,5.0,,,,,,,,,,
1092148.0,1095174,no_ops,,,,,,,,,,,,,
1095174.0,1114078,['popuppals'],,,6.0,,,,,,,,,,
1114078.0,1118940,no_ops,,,,,,,,,,,,,
1118940.0,1124482,['popuppals'],,,9.0,,,,,,,,,,
1124482.0,1136586,no_ops,,,,,,,,,,,,,
1136586.0,1138592,['popuppals'],,,10.0,,,,,,,,,,
1138592.0,1146956,no_ops,,,,,,,,,,,,,
1146956.0,1149132,['popuppals'],,,11.0,,,,,,,,,,
1149132.0,1154674,no_ops,,,,,,,,,,,,,
1154674.0,1161032,['popuppals'],,,12.0,,,,,,,,,,
1161032.0,1169736,no_ops,,,,,,,,,,,,,
1169736.0,1172218,['popuppals'],,,13.0,,,,,,,,,,
1172218.0,1184968,no_ops,,,,,,,,,,,,,
1184968.0,1193298,['popuppals'],,,14.0,,,,,,,,,,
1193298.0,1248922,no_ops,,,,,,,,,,,,,
1248922.0,1250996,['popuppals'],,,15.0,,,,,,,,,,
1250996.0,1266568,no_ops,,,,,,,,,,,,,
1266568.0,1282650,['popuppals'],,,16.0,,,,,,,,,,
1282650.0,1294720,no_ops,,,,,,,,,,,,,
1294720.0,1299650,['popuppals'],,,17.0,,,,,,,,,,
1299650.0,1304138,no_ops,,,,,,,,,,,,,
1304138.0,1305566,['popuppals'],,,19.0,,,,,,,,,,
1305566.0,1311278,no_ops,,,,,,,,,,,,,
1311278.0,1318384,['popuppals'],,,20.0,,,,,,,,,,
1318384.0,1331610,no_ops,,,,,,,,,,,,,
1331610.0,1336710,['popuppals'],,,22.0,,,,,,,,,,
1336710.0,1399066,no_ops,,,,,,,,,,,,,
1399066.0,1411952,['xylophone'],,,,1.0,,,,,,,,,
1411952.0,1417290,no_ops,,,,,,,,,,,,,
1417290.0,1426708,['xylophone'],,,,2.0,,,,,,,,,
1426708.0,1432012,no_ops,,,,,,,,,,,,,
1432012.0,1438948,['xylophone'],,,,3.0,,,,,,,,,
1438948.0,1443164,no_ops,,,,,,,,,,,,,
1443164.0,1455166,['popuppals'],,,23.0,,,,,,,,,,
1455404.0,1458600,['xylophone'],,,,5.0,,,,,,,,,
1458600.0,1461898,no_ops,,,,,,,,,,,,,
1461898.0,1482264,['popuppals'],,,24.0,,,,,,,,,,
1482264.0,1485596,no_ops,,,,,,,,,,,,,
1485596.0,1488894,['xylophone'],,,,6.0,,,,,,,,,
1488894.0,1497360,no_ops,,,,,,,,,,,,,
1497360.0,1502154,['popuppals'],,,25.0,,,,,,,,,,
