index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,2216018.0,2230468.0,no_ops,,,,,,,,,,,,,,0,1
1,2230468.0,2276708.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,6.0,,,,,,,,,1,2
11,2276708.0,2279938.0,no_ops,,,,,,,,,,,,,,0,3
12,2279938.0,2287214.0,"['shape_sorter', 'shape_sorter_blocks']",,,,,11.0,4.0,,,,,,,,1,4
13,2287214.0,2292620.0,no_ops,,,,,,,,,,,,,,0,5
14,2292620.0,2305778.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,5.0,,,,,,,,1,6
17,2305778.0,2311354.0,no_ops,,,,,,,,,,,,,,0,7
18,2311354.0,2313836.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,6.0,,,,,,,,1,8
20,2313836.0,2328490.0,no_ops,,,,,,,,,,,,,,0,9
21,2328490.0,2336820.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,7.0,,,,,,,,1,10
23,2336820.0,2340356.0,no_ops,,,,,,,,,,,,,,0,11
24,2340356.0,2395980.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,15.0,8.0,,,,,,,,1,12
31,2395980.0,2406010.0,no_ops,,,,,,,,,,,,,,0,13
32,2406010.0,2445858.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,13.0,,,,,,,,1,14
42,2445858.0,2454290.0,no_ops,,,,,,,,,,,,,,0,15
43,2454290.0,2478532.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,25.0,15.0,,,,,,,,1,16
46,2478532.0,2481864.0,no_ops,,,,,,,,,,,,,,0,17
47,2481864.0,2485196.0,"['shape_sorter', 'shape_sorter_blocks']",,,,,27.0,17.0,,,,,,,,1,18
48,2485196.0,2490500.0,no_ops,,,,,,,,,,,,,,0,19
49,2490500.0,2514232.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,18.0,,,,,,,,1,20
51,2514232.0,2517904.0,no_ops,,,,,,,,,,,,,,0,21
52,2517904.0,2518176.0,['shape_sorter'],,,,,32.0,,,,,,,,,1,22
53,2518176.0,2524262.0,no_ops,,,,,,,,,,,,,,0,23
54,2524262.0,2574412.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,22.0,,,,,,,,1,24
64,2574412.0,2578798.0,no_ops,,,,,,,,,,,,,,0,25
65,2578798.0,2584442.0,"['shape_sorter', 'shape_sorter_blocks']",,,,,39.0,25.0,,,,,,,,1,26
66,2584442.0,2588896.0,no_ops,,,,,,,,,,,,,,0,27
67,2588896.0,2589372.0,['shape_sorter'],,,,,40.0,,,,,,,,,1,28
68,2589372.0,2596478.0,no_ops,,,,,,,,,,,,,,0,29
69,2596478.0,2606610.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,26.0,,,,,,,,1,30
71,2606610.0,2610792.0,no_ops,,,,,,,,,,,,,,0,31
72,2610792.0,2634354.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,27.0,,,,,,,,1,32
80,2634354.0,2637618.0,no_ops,,,,,,,,,,,,,,0,33
81,2637618.0,2676514.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,29.0,,,,,,,,1,34
89,2676514.0,2680356.0,no_ops,,,,,,,,,,,,,,0,35
90,2680356.0,2684810.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,50.0,31.0,,,,,,,,1,36
93,2684810.0,2687972.0,no_ops,,,,,,,,,,,,,,0,37
94,2687972.0,2700076.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,52.0,32.0,,,,,,,,1,38
97,2700076.0,2711806.0,no_ops,,,,,,,,,,,,,,0,39
