,State 0,State 1,State 2,State 3,State 4,State 5,State 6,State 7
State 0,,,,,,,,
State 1,0.0,0.486,0.0,0.035,0.014,0.148,0.317,0.0
State 2,0.0,0.1,0.3,0.1,0.0,0.05,0.45,0.0
State 3,0.0,0.111,0.0,0.444,0.0,0.167,0.278,0.0
State 4,0.0,0.317,0.293,0.0,0.0,0.098,0.244,0.049
State 5,0.0,0.25,0.375,0.094,0.062,0.062,0.156,0.0
State 6,0.0,0.382,0.0,0.059,0.0,0.221,0.324,0.015
State 7,0.0,0.622,0.0,0.0,0.0,0.092,0.227,0.059
