,State 0,State 1,State 2,State 3,State 4
State 0,0.042,0.345,0.429,0.176,0.008
State 1,0.054,0.424,0.37,0.152,0.0
State 2,0.028,0.138,0.587,0.248,0.0
State 3,0.097,0.045,0.172,0.687,0.0
State 4,0.192,0.654,0.115,0.038,0.0
