,State 0,State 1,State 2,State 3,State 4,State 5,State 6,State 7
State 0,0.724,0.0,0.0,0.0,0.276,0.0,0.0,0.0
State 1,0.009,0.536,0.0,0.055,0.009,0.091,0.3,0.0
State 2,0.0,0.067,0.133,0.2,0.0,0.0,0.533,0.067
State 3,0.121,0.091,0.0,0.424,0.0,0.212,0.152,0.0
State 4,0.056,0.352,0.278,0.019,0.0,0.037,0.222,0.037
State 5,0.091,0.303,0.091,0.182,0.03,0.121,0.152,0.03
State 6,0.056,0.306,0.0,0.083,0.0,0.181,0.333,0.042
State 7,0.021,0.442,0.0,0.042,0.011,0.179,0.305,0.0
