,State 0,State 1,State 2,State 3,State 4,State 5,State 6,State 7
State 0,0.714,0.0,0.0,0.245,0.02,0.0,0.0,0.02
State 1,0.059,0.294,0.0,0.118,0.029,0.235,0.265,0.0
State 2,0.05,0.0,0.15,0.3,0.05,0.05,0.4,0.0
State 3,0.169,0.06,0.0,0.361,0.096,0.205,0.108,0.0
State 4,0.071,0.214,0.202,0.131,0.036,0.143,0.167,0.036
State 5,0.077,0.038,0.154,0.192,0.038,0.192,0.308,0.0
State 6,0.016,0.156,0.0,0.156,0.016,0.359,0.297,0.0
State 7,0.033,0.4,0.0,0.033,0.067,0.15,0.3,0.017
