,State 0,State 1,State 2,State 3,State 4
State 0,0.028,0.266,0.587,0.11,0.009
State 1,0.013,0.447,0.434,0.105,0.0
State 2,0.0,0.203,0.744,0.052,0.0
State 3,0.058,0.077,0.538,0.327,0.0
State 4,0.069,0.448,0.483,0.0,0.0
