,State 0,State 1,State 2,State 3,State 4,State 5,State 6
State 0,0.034,0.407,0.136,0.034,0.034,0.068,0.288
State 1,0.0,0.294,0.235,0.059,0.118,0.029,0.265
State 2,0.0,0.028,0.306,0.069,0.222,0.042,0.333
State 3,0.02,0.0,0.0,0.714,0.245,0.02,0.0
State 4,0.0,0.049,0.207,0.171,0.366,0.098,0.11
State 5,0.034,0.218,0.345,0.069,0.126,0.034,0.172
State 6,0.0,0.159,0.365,0.016,0.159,0.016,0.286
