,0,1,2,3,4
0,0.02,0.39,0.46,0.1,0.02
1,0.03,0.58,0.31,0.08,0.0
2,0.01,0.25,0.62,0.12,0.01
3,0.1,0.07,0.22,0.6,0.0
4,0.05,0.65,0.27,0.03,0.01
5,0.5,0.0,0.0,0.13,0.36
