,State 0,State 1,State 2,State 3,State 4
State 0,0.0,0.488,0.425,0.062,0.025
State 1,0.05,0.652,0.227,0.071,0.0
State 2,0.012,0.31,0.452,0.19,0.036
State 3,0.164,0.066,0.131,0.639,0.0
State 4,0.013,0.587,0.32,0.08,0.0
