feature,observation,state 3,state 2,state 0,state 1,state 4
0,1,0.94,0.41,0.41,0.17,0.07
0,2,0.06,0.37,0.42,0.55,0.46
0,3,0,0.18,0.13,0.2,0.32
0,4,0,0.05,0.04,0.08,0.15
1,0,0.31,0,0,0,0
1,1,0.67,0.03,0,0,0.02
1,2,0.02,0.64,0.53,0,0.11
1,3,0,0.34,0.47,0.3,0.03
1,4,0,0,0,0.7,0.84
2,0,0.67,0.12,0,0,0.12
2,1,0.33,0.46,0.24,0.01,0.01
2,2,0,0.42,0.54,0.23,0.09
2,3,0,0,0.22,0.47,0.29
2,4,0,0,0,0.29,0.49
3,1,0.5,0.05,0.08,0.06,0.05
3,2,0.07,0.13,0.21,0.32,0.3
3,3,0.06,0.3,0.34,0.34,0.27
3,4,0.12,0.32,0.25,0.18,0.23
3,5,0.25,0.2,0.12,0.1,0.14
4,0,0.64,0.01,1,0.02,1
4,1,0.14,0.25,0,0.18,0
4,2,0.09,0.24,0,0.34,0
4,3,0,0.19,0,0.33,0
4,4,0.13,0.32,0,0.14,0
