,State 0,State 1,State 2,State 3,State 4
State 0,0.03,0.53,0.348,0.015,0.076
State 1,0.034,0.68,0.253,0.034,0.0
State 2,0.025,0.259,0.642,0.062,0.012
State 3,0.062,0.188,0.25,0.5,0.0
State 4,0.04,0.758,0.182,0.0,0.02
