,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.02,0.444,0.141,0.03,0.0,0.364
State 1,0.0,0.536,0.118,0.009,0.009,0.327
State 2,0.016,0.145,0.5,0.048,0.0,0.29
State 3,0.0,0.0,0.0,0.758,0.242,0.0
State 4,0.0,0.327,0.418,0.055,0.0,0.2
State 5,0.049,0.317,0.195,0.098,0.012,0.329
