,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.066,0.607,0.074,0.0,0.0,0.254
State 1,0.0,0.486,0.162,0.007,0.014,0.331
State 2,0.0,0.127,0.491,0.0,0.055,0.327
State 3,0.0,0.0,0.0,0.0,1.0,0.0
State 4,0.022,0.311,0.422,0.0,0.0,0.244
State 5,0.014,0.405,0.216,0.0,0.014,0.351
