,State 0,State 1,State 2,State 3,State 4,State 5,State 6
State 0,0.0,0.324,0.27,0.0,0.0,0.054,0.351
State 1,0.0,0.359,0.333,0.0,0.154,0.0,0.154
State 2,0.0,0.122,0.565,0.009,0.061,0.0,0.243
State 3,,,,,,,
State 4,0.0,0.073,0.309,0.0,0.364,0.036,0.218
State 5,0.01,0.048,0.51,0.0,0.115,0.029,0.288
State 6,0.023,0.136,0.261,0.0,0.057,0.0,0.523
