,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.016,0.46,0.127,0.048,0.032,0.317
State 1,0.0,0.294,0.279,0.088,0.015,0.324
State 2,0.0,0.033,0.484,0.099,0.121,0.264
State 3,0.014,0.0,0.0,0.814,0.171,0.0
State 4,0.0,0.134,0.527,0.089,0.062,0.188
State 5,0.0,0.158,0.316,0.079,0.026,0.421
