,State 0,State 1,State 2,State 3,State 4,State 5,State 6
State 0,0.053,0.632,0.088,0.0,0.0,0.0,0.228
State 1,0.0,0.486,0.148,0.0,0.035,0.014,0.317
State 2,0.0,0.192,0.404,0.0,0.096,0.038,0.269
State 3,,,,,,,
State 4,0.0,0.111,0.167,0.0,0.444,0.0,0.278
State 5,0.065,0.326,0.37,0.0,0.0,0.0,0.239
State 6,0.015,0.382,0.221,0.0,0.059,0.0,0.324
