level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,1707077,1707990.0,,1.0,1.0,,,,,,,,,,,"['bucket', 'balls']",1,1
2,2,1707990,1717068.0,,,,,,,,,,,,,,no_ops,0,2
3,3,1717068,1761472.0,,,,,,,,,,,,1.0,,['stroller'],0,2
4,4,1761472,1764668.0,,,,,,,,,,,,,,no_ops,0,2
5,5,1764668,1784728.0,,,,,,,,,,,,2.0,,['stroller'],0,2
6,6,1784728,1789794.0,,,,,,,,,,,,,,no_ops,0,2
7,7,1789794,1850450.0,,,,,,,,,,,,5.0,,['stroller'],0,2
8,8,1850450,1854190.0,,,,,,,,,,,,,,no_ops,0,2
9,9,1854190,1855550.0,,,,,,,,,,,,10.0,,['stroller'],0,2
10,10,1855550,1863132.0,,,,,,,,,,,,,,no_ops,0,2
11,11,1863132,1881356.0,,,,,,,,,,,,11.0,,['stroller'],0,2
12,12,1881356,1885300.0,,,,,,,,,,,,,,no_ops,0,2
13,13,1885300,1889482.0,,,,1.0,,,,,,,,,,['broom'],0,2
14,14,1889482,1895160.0,,,,,,,,,,,,,,no_ops,0,2
15,15,1895160,1914234.0,,,,,,,,,,,,14.0,,['stroller'],0,2
16,16,1914234,1917804.0,,,,,,,,,,,,,,no_ops,0,2
17,17,1917804,1922938.0,,,,,,,,,,,,16.0,,['stroller'],0,2
18,18,1922938,1949832.0,,,,2.0,,,,,,,,16.0,,"['broom', 'stroller']",0,2
19,19,1949832,2020994.0,,,,,,,,,,,,16.0,,['stroller'],0,2
20,20,2020994,2026196.0,,,,,,,,,,,,,,no_ops,0,2
21,21,2026196,2032588.0,,,,,,,,,,,,17.0,,['stroller'],0,2
22,22,2032588,2036600.0,,,,,,,,,,,,,,no_ops,0,2
23,23,2036600,2048398.0,,,,,,,,,,,,18.0,,['stroller'],0,2
24,24,2048398,2051628.0,,,,,,,,,,,,,,no_ops,0,2
25,25,2051628,2056524.0,,,,,,,,,,,,20.0,,['stroller'],0,2
26,26,2056524,2067642.0,,,,,,,,,,,,,,no_ops,0,2
27,27,2067642,2077774.0,,,2.0,,,,,,,,,,,"['bucket', 'balls']",1,3
30,30,2077774,2082500.0,,,,,,,,,,,,,,no_ops,0,4
31,31,2082500,2116160.0,,,3.0,,,,,,,,,,,"['bucket', 'balls']",1,5
41,41,2116160,2148528.0,,,,,,,,,,,,,,no_ops,0,6
42,42,2148528,2164338.0,,,,,,,,,,,,21.0,,['stroller'],0,6
43,43,2165052,2200004.0,,,,,,,36.0,,,,,,,"['food', 'grocery_cart']",0,6
44,50,2200004,2206906.0,,,,,,,,,,,,,,no_ops,0,6
