level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,2300066.0,2310470.0,['broom'],,,,,,,5.0,,,,,,,0,1
1,1,2310470.0,2315978.0,no_ops,,,,,,,,,,,,,,0,1
2,2,2315978.0,2326688.0,['broom'],,,,,,,6.0,,,,,,,0,1
3,3,2329204.0,2343790.0,"['food', 'grocery_cart']",,,,,,,,,,18.0,20.0,,,0,1
4,9,2343790.0,2355520.0,no_ops,,,,,,,,,,,,,,0,1
5,10,2355520.0,2365584.0,['bucket'],,,,,,,,,,,,,8.0,1,2
6,11,2365584.0,2370106.0,no_ops,,,,,,,,,,,,,,0,3
7,12,2370106.0,2377722.0,['grocery_cart'],,,,,,,,,,,23.0,,,0,3
8,13,2377722.0,2381088.0,no_ops,,,,,,,,,,,,,,0,3
9,14,2381088.0,2395062.0,"['food', 'grocery_cart']",,,,,,,,,,,24.0,,,0,3
10,16,2395062.0,2399720.0,no_ops,,,,,,,,,,,,,,0,3
11,17,2399720.0,2412198.0,"['food', 'grocery_cart']",,,,,,,,,,22.0,,,,0,3
12,20,2412198.0,2430184.0,no_ops,,,,,,,,,,,,,,0,3
13,21,2430184.0,2503250.0,"['food', 'grocery_cart']",,,,,,,,,,,26.0,,,0,3
14,29,2503250.0,2513076.0,no_ops,,,,,,,,,,,,,,0,3
15,30,2513076.0,2566252.0,"['food', 'grocery_cart', 'balls']",,,,,,,,,,,30.0,,,0,3
16,40,2566252.0,2570910.0,no_ops,,,,,,,,,,,,,,0,3
17,41,2570910.0,2634966.0,"['food', 'grocery_cart']",,,,,,,,,,,36.0,,,0,3
18,53,2635714.0,2650606.0,"['bucket', 'balls']",,,,,,,,,,,,,9.0,1,4
20,55,2650606.0,2650844.0,"['balls', 'grocery_cart', 'bucket']",,,,,,,,,11.0,,40.0,,9.0,0,5
21,56,2650844.0,2651082.0,"['grocery_cart', 'bucket']",,,,,,,,,,,40.0,,9.0,0,5
22,57,2651082.0,2666960.0,['bucket'],,,,,,,,,,,,,9.0,1,6
23,58,2667300.0,2689230.0,['grocery_cart'],,,,,,,,,,,41.0,,,0,7
24,59,2690828.0,2696608.0,['stroller'],,,,,,,,,,,,5.0,,0,7
25,60,2696608.0,2697322.0,"['broom', 'stroller']",,,,,,,7.0,,,,,5.0,,0,7
26,61,2697322.0,2737782.0,['stroller'],,,,,,,,,,,,5.0,,0,7
27,62,2737782.0,2738326.0,"['broom', 'stroller']",,,,,,,8.0,,,,,5.0,,0,7
28,63,2738326.0,2740604.0,['stroller'],,,,,,,,,,,,5.0,,0,7
29,64,2741930.0,2758046.0,['broom'],,,,,,,9.0,,,,,,,0,7
30,65,2758046.0,2762262.0,no_ops,,,,,,,,,,,,,,0,7
31,66,2762262.0,2767872.0,['stroller'],,,,,,,,,,,,6.0,,0,7
32,67,2768076.0,2770796.0,['grocery_cart'],,,,,,,,,,,43.0,,,0,7
33,68,2770796.0,2774128.0,no_ops,,,,,,,,,,,,,,0,7
34,69,2774128.0,2790482.0,['stroller'],,,,,,,,,,,,7.0,,0,7
35,70,2790482.0,2796160.0,"['clear_ball', 'stroller']",,,,,,,,8.0,,,,7.0,,0,7
36,71,2796160.0,2801226.0,['stroller'],,,,,,,,,,,,7.0,,0,7
37,72,2801226.0,2812412.0,no_ops,,,,,,,,,,,,,,0,7
38,73,2812412.0,2812650.0,['stroller'],,,,,,,,,,,,8.0,,0,7
39,74,2812650.0,2816118.0,no_ops,,,,,,,,,,,,,,0,7
40,75,2816118.0,2817070.0,['balls'],,,,,,,,,12.0,,,,,1,8
