level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,773874,776458.0,,,,,1.0,,,,,,,,,['clear_ball'],0,1
1,1,776458,785400.0,,,,,,,,,,,,,,no_ops,0,1
2,2,785400,792506.0,,,,,2.0,,,,,,,,,['clear_ball'],0,1
3,3,792506,808792.0,,,,,,,,,,,,,,no_ops,0,1
4,4,808792,917252.0,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,2
33,33,917252,920720.0,,,,,,,,,,,,,,no_ops,0,3
34,34,920720,987734.0,,,14.0,,,,,,,,,,,"['bucket', 'balls']",1,4
58,58,987734,992936.0,,,,,,,,,,,,,,no_ops,0,5
59,59,992936,1052538.0,,,25.0,,,,,,,,,,,"['bucket', 'balls']",1,6
77,77,1052538,1060222.0,,,,,,,,,,,,,,no_ops,0,7
78,78,1060222,1080146.0,,13.0,,,,,,,,,,,,['bucket'],1,8
79,79,1080146,1084464.0,,,,,,,,,,,,,,no_ops,0,9
80,80,1084464,1113466.0,,15.0,,,,,,,,,,,,"['bucket', 'balls']",1,10
93,93,1113466,1117852.0,,,,,,,,,,,,,,no_ops,0,11
94,94,1117852,1121048.0,,,35.0,,,,,,,,,,,"['bucket', 'balls']",1,12
97,97,1121048,1125094.0,,,,,,,,,,,,,,no_ops,0,13
98,98,1125094,1151512.0,,,36.0,,,,,,,,,,,"['bucket', 'balls']",1,14
102,102,1153450,1189932.0,,,,,3.0,,,,,,,,,['clear_ball'],0,15
103,103,1190510,1207748.0,,23.0,,,,,,,,,,,,"['bucket', 'balls']",1,16
106,106,1207748,1215432.0,,,,,,,,,,,,,,no_ops,0,17
107,107,1215432,1217336.0,,,38.0,,,,,,,,,,,['balls'],1,18
108,108,1217336,1228454.0,,,,,,,,,,,,,,no_ops,0,19
109,109,1228454,1230834.0,,,39.0,,,,,,,,,,,['balls'],1,20
110,110,1230834,1235730.0,,,,,,,,,,,,,,no_ops,0,21
111,111,1235730,1236274.0,,,40.0,,,,,,,,,,,['balls'],1,22
112,112,1236274,1261638.0,,,,,,,,,,,,,,no_ops,0,23
