level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,833952,860302,,1.0,1.0,,,,,,,,,,,"['balls', 'bucket']",1,1
1,1,860302,866864,,1.0,1.0,,1.0,,,,,,,,,"['clear_ball', 'balls', 'bucket']",0,2
2,2,866864,868734,,1.0,1.0,,,,,,,,,,,"['balls', 'bucket']",1,3
3,3,868734,869550,,1.0,1.0,,2.0,,,,,,,,,"['clear_ball', 'balls', 'bucket']",0,4
4,4,869550,873630,,1.0,1.0,,,,,,,,,,,"['bucket', 'balls']",1,5
6,6,873630,894234,,1.0,,,3.0,,,,,,,,,"['clear_ball', 'bucket']",0,6
7,7,894234,895662,,1.0,,,,,,,,,,,,['bucket'],1,7
8,8,895662,905114,,1.0,,,4.0,,,,,,,,,"['clear_ball', 'bucket']",0,8
9,9,905114,935068,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,9
22,22,935068,939216,,1.0,,,5.0,,,,,,,,,"['clear_ball', 'bucket']",0,10
23,23,939216,955978,,,,,5.0,,,,,,,,,['clear_ball'],0,10
24,24,955978,959548,,,,,,,,,,,,,,no_ops,0,10
25,25,959548,966110,,,8.0,,,,,,,,,,,['balls'],1,11
26,26,966110,974372,,,8.0,,6.0,,,,,,,,,"['clear_ball', 'balls']",0,12
27,27,974372,1011126,,,8.0,,,,,,,,,,,"['bucket', 'balls']",1,13
38,38,1011126,1031084,,2.0,,1.0,,,,,,,,,,"['broom', 'bucket']",0,14
39,39,1031084,1034654,,2.0,,,,,,,,,,,,['bucket'],1,15
40,40,1034654,1043970,,2.0,,2.0,,,,,,,,,,"['broom', 'bucket']",0,16
41,41,1043970,1046248,,2.0,,,,,,,,,,,,['bucket'],1,17
42,42,1046248,1114520,,2.0,,3.0,,,,,,,,,,"['broom', 'bucket']",0,18
43,43,1114520,1117648,,2.0,,,,,,,,,,,,['bucket'],1,19
44,44,1117648,1135090,,2.0,,4.0,,,,,,,,,,"['broom', 'bucket']",0,20
45,45,1135090,1186260,,2.0,,,,,,,,,,,,"['bucket', 'balls']",1,21
56,56,1186260,1191054,,,,,,,,,,,,,,no_ops,0,22
57,57,1191054,1191258,,,18.0,,,,,,,,,,,['balls'],1,23
58,58,1191258,1191802,,,18.0,,7.0,,,,,,,,,"['clear_ball', 'balls']",0,24
59,59,1191802,1204994,,,,,7.0,,,,,,,,,['clear_ball'],0,24
60,60,1204994,1211318,,,,,,,,,,,,,,no_ops,0,24
61,61,1211318,1218084,,,,,8.0,,,,,,,,,['clear_ball'],0,24
62,62,1218084,1227196,,,,,,,,,,,,,,no_ops,0,24
63,63,1227196,1233724,,,,,10.0,,,,,,,,,['clear_ball'],0,24
64,64,1233724,1239164,,,,,,,,,,,,,,no_ops,0,24
65,65,1239164,1289314,,,,5.0,,,,,,,,,,['broom'],0,24
66,66,1289314,1292646,,,19.0,5.0,,,,,,,,,,"['broom', 'balls']",0,24
67,67,1292646,1294482,,,19.0,5.0,,,,,,,,1.0,,"['broom', 'balls', 'stroller']",0,24
68,68,1294482,1333480,,,19.0,5.0,,,,,,,,,,"['broom', 'balls']",0,24
