level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,1920082,1954524.0,,2.0,3.0,,,,,,,,,,,"['bucket', 'balls']",1,1
6,6,1954524,1955816.0,,2.0,,,,32.0,35.0,,,,,,,"['food', 'grocery_cart', 'bucket']",0,2
7,7,1955816,1957618.0,,2.0,,,,32.0,,,,,,,,"['bucket', 'food']",1,3
9,9,1957618,1959828.0,,2.0,,,,33.0,36.0,,,,,,,"['food', 'grocery_cart', 'bucket']",0,4
10,10,1959828,1966118.0,,2.0,,,,33.0,,,,,,,,"['bucket', 'food']",1,5
12,12,1966118,1970300.0,,,,,,,,,,,,,,no_ops,0,6
13,13,1970300,1977168.0,,,,,,,37.0,,,,,,,['grocery_cart'],0,6
14,14,1979514,1985042.0,,3.0,6.0,,,,,,,,,,,"['bucket', 'balls']",1,7
16,16,1985042,1989918.0,,,,,,,,,,,,,,no_ops,0,8
17,17,1989918,2013140.0,,4.0,7.0,,,,,,,,,,,"['bucket', 'balls']",1,9
19,19,2015350,2026604.0,,,,,,,38.0,,,,,,,"['food', 'grocery_cart']",0,10
20,22,2026604,2034458.0,,,,,,,,,,,,,,no_ops,0,10
21,23,2034458,2036566.0,,,8.0,,,,,,,,,,,['balls'],1,11
22,24,2036566,2041768.0,,,,,,,,,,,,,,no_ops,0,12
23,25,2041768,2052206.0,,,,,,,39.0,,,,,,,"['grocery_cart', 'balls']",0,12
24,28,2052206,2062678.0,,,,,,,,,,,,,,no_ops,0,12
25,29,2062678,2072334.0,,5.0,,,,,,,,,,,,['bucket'],1,13
26,30,2072334,2083248.0,,,,,,,,,,,,,,no_ops,0,14
27,31,2083248,2088280.0,,,,,3.0,,,,,,,,,['clear_ball'],0,14
28,32,2088280,2092444.0,,,,,,,,,,,,,,no_ops,0,14
29,33,2092444,2098922.0,,,,,4.0,,,,,,,,,['clear_ball'],0,14
30,34,2098922,2102356.0,,,,,,,,,,,,,,no_ops,0,14
31,35,2102356,2102798.0,,,,,6.0,,,,,,,,,['clear_ball'],0,14
32,36,2102798,2106946.0,,,,,,,,,,,,,,no_ops,0,14
33,37,2106946,2107456.0,,,,,7.0,,,,,,,,,['clear_ball'],0,14
34,38,2107456,2112012.0,,,,,,,,,,,,,,no_ops,0,14
35,39,2112012,2114290.0,,,,,,,40.0,,,,,,,['grocery_cart'],0,14
36,40,2114290,2136696.0,,,,,,,,,,,,,,no_ops,0,14
37,41,2136696,2158524.0,,,,,,,41.0,,,,,,,"['food', 'grocery_cart']",0,14
38,44,2158524,2186879.0,,6.0,,,,35.0,,,,,,,,"['bucket', 'food']",1,15
42,48,2186879,2187356.0,,7.0,,,,,42.0,,,,,,,"['grocery_cart', 'bucket']",0,16
43,49,2187356,2191470.0,,,,,,,,,,,,,,no_ops,0,16
44,50,2191470,2205138.0,,,,,,36.0,,,,,,,,"['food', 'grocery_cart']",0,16
45,54,2205138,2205920.0,,8.0,,,,37.0,,,,,,,,"['bucket', 'food']",1,17
47,56,2207212,2207756.0,,,,,,,45.0,,,,,,,['grocery_cart'],0,18
48,57,2207756,2210204.0,,9.0,10.0,,,,45.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,18
49,58,2210204,2333284.0,,,10.0,,,,45.0,,,,,,,"['grocery_cart', 'balls']",0,18
50,60,2333284,2334066.0,,10.0,10.0,,,,46.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,18
51,61,2334066,2389996.0,,,10.0,,,,46.0,,,,,,,"['grocery_cart', 'balls', 'food']",0,18
52,65,2389996,2395198.0,,,,,,,,,,,,,,no_ops,0,18
53,66,2395198,2401726.0,,,,,8.0,,,,,,,,,['clear_ball'],0,18
54,67,2401726,2405296.0,,,,,,,,,,,,,,no_ops,0,18
55,68,2405296,2407864.0,,,,,,,48.0,,,,,,,['grocery_cart'],0,18
