level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,1642098.0,1655562.0,no_ops,,,,,,,,,,,,,,0,1
1,1,1655562.0,1657772.0,['stroller'],,,,,,,,,,,,3.0,,0,1
2,2,1657772.0,1669876.0,no_ops,,,,,,,,,,,,,,0,1
3,3,1669876.0,1699286.0,['stroller'],,,,,,,,,,,,4.0,,0,1
4,4,1699286.0,1704250.0,no_ops,,,,,,,,,,,,,,0,1
5,5,1704250.0,1719754.0,"['food', 'grocery_cart']",,,,,,,,,,,24.0,,,0,1
6,8,1719754.0,1743520.0,"['food', 'stroller']",,,,,,,,,,21.0,,5.0,,0,1
7,9,1743520.0,1748178.0,['food'],,,,,,,,,,21.0,,,,1,2
8,10,1748178.0,1751000.0,"['food', 'stroller']",,,,,,,,,,21.0,,6.0,,0,3
9,11,1751000.0,1753550.0,['food'],,,,,,,,,,21.0,,,,1,4
10,12,1753550.0,1757936.0,"['food', 'stroller']",,,,,,,,,,21.0,,7.0,,0,5
11,13,1757936.0,1763784.0,['food'],,,,,,,,,,21.0,,,,1,6
12,14,1763784.0,1766606.0,"['food', 'stroller']",,,,,,,,,,21.0,,8.0,,0,7
13,15,1766606.0,1774562.0,['food'],,,,,,,,,,21.0,,,,1,8
14,16,1774562.0,1793704.0,"['food', 'stroller']",,,,,,,,,,21.0,,9.0,,0,9
15,17,1793704.0,1813696.0,['food'],,,,,,,,,,21.0,,,,1,10
16,18,1813696.0,1831852.0,"['broom', 'food']",,,,,,,4.0,,,21.0,,,,0,11
17,19,1831852.0,1877548.0,"['food', 'grocery_cart']",,,,,,,,,,21.0,,,,0,11
18,22,1877548.0,1878228.0,"['food', 'stroller']",,,,,,,,,,21.0,,10.0,,0,11
19,23,1878228.0,1928650.0,['food'],,,,,,,,,,21.0,,,,1,12
20,24,1928650.0,1932492.0,"['food', 'stroller']",,,,,,,,,,23.0,,11.0,,0,13
21,25,1932492.0,1935688.0,['stroller'],,,,,,,,,,,,11.0,,0,13
22,26,1935688.0,1946398.0,"['food', 'stroller']",,,,,,,,,,24.0,,11.0,,0,13
23,27,1946398.0,2030072.0,"['bucket', 'food', 'balls']",,,,,,,,,,24.0,,,,1,14
29,34,2030072.0,2033098.0,no_ops,,,,,,,,,,,,,,0,15
30,35,2033098.0,2053804.0,['balls'],,,,,,,,,11.0,,,,,1,16
31,36,2053804.0,2059448.0,no_ops,,,,,,,,,,,,,,0,17
32,37,2059448.0,2077162.0,['balls'],,,,,,,,,12.0,,,,,1,18
33,38,2077162.0,2081650.0,no_ops,,,,,,,,,,,,,,0,19
34,39,2081650.0,2120512.0,"['grocery_cart', 'balls', 'food']",,,,,,,,,17.0,,,,,0,19
35,44,2120512.0,2143394.0,no_ops,,,,,,,,,,,,,,0,19
