level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2400162,2439330.0,,,,,,,,,,,,13.0,,['stroller'],0,1
1,1,2442152,2448000.0,,,,5.0,,,,,,,,,,['broom'],0,1
2,2,2449020,2456024.0,,11.0,,,,,,,,,,,,['bucket'],1,2
3,3,2456024,2457316.0,,11.0,,,,,,,,,,14.0,,"['stroller', 'bucket']",0,3
4,4,2457316,2462008.0,,11.0,,,,,,,,,,,,['bucket'],1,4
5,5,2464252,2470746.0,,,,,,,,,,,,15.0,,['stroller'],0,5
6,6,2470746,2473670.0,,,15.0,,,,,,,,,15.0,,"['balls', 'stroller']",0,5
7,7,2473670,2483122.0,,,15.0,,,,,,,,,,,"['bucket', 'balls']",1,6
10,10,2483122,2485332.0,,12.0,,,,,,,,,,16.0,,"['stroller', 'bucket']",0,7
11,11,2485332,2487440.0,,12.0,,,,,,,,,,,,['bucket'],1,8
12,12,2487916,2506310.0,,,,,,,,,,,,17.0,,['stroller'],0,9
13,13,2506310,2514844.0,,,16.0,,,,,,,,,20.0,,"['balls', 'stroller']",0,9
14,14,2514844,2518890.0,,,,,,,,,,,,20.0,,['stroller'],0,9
15,15,2518890,2527084.0,,,17.0,,,,,,,,,20.0,,"['balls', 'stroller']",0,9
16,16,2527084,2557276.0,,,,,,,,,,,,20.0,,['stroller'],0,9
17,17,2557276,2562410.0,,,,,,,,,,,,,,no_ops,0,9
18,18,2562410,2584850.0,,,,,,,,,,,,21.0,,['stroller'],0,9
19,19,2587502,2593928.0,,,18.0,,,,,,,,,,,['balls'],1,10
20,20,2593928,2596682.0,,,18.0,,,,,,,,,22.0,,"['balls', 'stroller']",0,11
21,21,2599266,2603584.0,,,19.0,,,,,,,,,,,['balls'],1,12
22,22,2603584,2604468.0,,,19.0,,,,,,,,,23.0,,"['balls', 'stroller']",0,13
23,23,2604468,2604774.0,,,,,,,,,,,,23.0,,['stroller'],0,13
24,24,2604774,2608004.0,,,,,,,,,,,,,,no_ops,0,13
25,25,2608004,2612526.0,,,20.0,,,,,,,,,,,['balls'],1,14
26,26,2612526,2612628.0,,,20.0,,,,,,,,,24.0,,"['balls', 'stroller']",0,15
27,27,2612628,2613240.0,,,,,,,,,,,,24.0,,['stroller'],0,15
28,28,2615076,2616436.0,,,21.0,,,,,,,,,,,['balls'],1,16
29,29,2616436,2617150.0,,,21.0,,,,,,,,,25.0,,"['balls', 'stroller']",0,17
30,30,2617150,2634660.0,,,,,,,,,,,,25.0,,['stroller'],0,17
31,31,2635714,2655876.0,,,,6.0,,,,,,,,,,['broom'],0,17
32,32,2657270,2669238.0,,,,,,,26.0,,,,,,,"['food', 'grocery_cart']",0,17
