level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,1662940,1666068.0,,,18.0,,,,,,,,,,,['balls'],1,1
1,1,1666068,1712614.0,,,18.0,1.0,,,,,,,,,,"['broom', 'balls']",0,2
2,2,1712614,1727846.0,,,18.0,,,,,,,,,,,['balls'],1,3
3,3,1727846,1734680.0,,,,,,,,,,,,,,no_ops,0,4
4,4,1734680,1758854.0,,,19.0,,,,,,,,,,,['balls'],1,5
5,5,1758854,1803802.0,,,19.0,,3.0,,,,,,,,,"['clear_ball', 'balls']",0,6
6,6,1803802,2013480.0,,,19.0,,,,,,,,,,,"['bucket', 'balls']",1,7
11,11,2013480,2027454.0,,,19.0,2.0,,,,,,,,,,"['broom', 'balls']",0,8
12,12,2027454,2082534.0,,,19.0,,,,,,,,,,,['balls'],1,9
13,13,2082534,2146046.0,,,,,,,,,,,,,,no_ops,0,10
