level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,1642744,1686842.0,,7.0,9.0,,,,,,,,,,,"['bucket', 'balls']",1,1
13,13,1686842,1689868.0,,,,,,,,,,,,,,no_ops,0,2
14,14,1689868,1704046.0,,,15.0,,,,,,,,,,,"['bucket', 'balls']",1,3
17,17,1704046,1707106.0,,,,,,,,,,,,,,no_ops,0,4
18,18,1707106,1729138.0,,10.0,,,,,,,,,,,,"['bucket', 'balls']",1,5
21,21,1729138,1732946.0,,,,,,,,,,,,,,no_ops,0,6
22,22,1732946,1748654.0,,,17.0,,,,,,,,,,,"['grocery_cart', 'balls', 'food']",0,6
23,29,1748654,1754128.0,,,,,,,,,,,,,,no_ops,0,6
24,30,1754128,1763784.0,,,,,,,8.0,,,,,,,"['food', 'grocery_cart']",0,6
25,37,1763784,1776092.0,,,,,,,,,,,,,,no_ops,0,6
26,38,1776092,1834946.0,,,,,,13.0,,,,,,,,"['food', 'balls']",1,7
27,41,1834946,1836952.0,,,,,,13.0,,,,,,3.0,,"['food', 'stroller']",0,8
28,42,1836952,1841542.0,,,,,,13.0,,,,,,,,['food'],1,9
29,43,1841542,1842290.0,,,,,,13.0,,,,,,4.0,,"['food', 'stroller']",0,10
30,44,1842290,1843412.0,,,,,,13.0,,,,,,,,['food'],1,11
31,45,1843412,1847934.0,,,,,,13.0,,,,,,5.0,,"['food', 'stroller']",0,12
32,46,1847934,1850688.0,,,,,,13.0,,,,,,,,['food'],1,13
33,47,1852082,1873434.0,,,,,,,,,,,,6.0,,['stroller'],0,14
34,48,1873434,1901756.0,,,,,,,,,,,,,,no_ops,0,14
35,49,1901756,2000322.0,,,,,,,,,,,,7.0,,['stroller'],0,14
36,50,2000322,2011950.0,,,,,,,,,,,,,,no_ops,0,14
37,51,2011950,2018070.0,,,,,,,,,,,,9.0,,['stroller'],0,14
38,52,2018070,2029902.0,,,,,,,,,,,,,,no_ops,0,14
39,53,2029902,2034526.0,,,,,,,,,,,,10.0,,['stroller'],0,14
40,54,2037484,2040782.0,,,,1.0,,,,,,,,,,['broom'],0,14
41,55,2040782,2055470.0,,,,,,,,,,,,,,no_ops,0,14
42,56,2055470,2069036.0,,,,,,,,,,,,11.0,,['stroller'],0,14
43,57,2069036,2072402.0,,,,2.0,,,,,,,,11.0,,"['broom', 'stroller']",0,14
44,58,2072402,2072538.0,,,,,,,,,,,,11.0,,['stroller'],0,14
45,59,2075258,2083044.0,,,,3.0,,,,,,,,,,['broom'],0,14
46,60,2083044,2086852.0,,,,,,,,,,,,,,no_ops,0,14
47,61,2086852,2107864.0,,,,,,,,,,,,12.0,,['stroller'],0,14
48,62,2107864,2113032.0,,,,,,,,,,,,,,no_ops,0,14
49,63,2113032,2114426.0,,,19.0,,,,,,,,,,,['balls'],1,15
50,64,2114426,2138124.0,,,,,,,,,,,,,,no_ops,0,16
51,65,2138124,2146420.0,,,20.0,,,,,,,,,,,['balls'],1,17
52,66,2146420,2169744.0,,,,,,,,,,,,,,no_ops,0,18
