level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,463624.0,474572,no_ops,,,,,,,,,,,,,,0,1
1,1,474572.0,527816,"['bucket', 'balls']",,,,,,,,,,,,,1.0,1,2
10,10,527816.0,531046,no_ops,,,,,,,,,,,,,,0,3
11,11,531046.0,598808,"['bucket', 'balls']",,,,,,,,,,,,,3.0,1,4
24,24,601562.0,604214,['clear_ball'],,,,,,,,1.0,,,,,,0,5
25,25,604214.0,608872,no_ops,,,,,,,,,,,,,,0,5
26,26,608872.0,612612,['clear_ball'],,,,,,,,2.0,,,,,,0,5
27,27,612612.0,616386,no_ops,,,,,,,,,,,,,,0,5
28,28,616386.0,618596,['clear_ball'],,,,,,,,3.0,,,,,,0,5
29,29,618596.0,638146,no_ops,,,,,,,,,,,,,,0,5
30,30,638146.0,642906,['clear_ball'],,,,,,,,4.0,,,,,,0,5
31,31,642906.0,646238,no_ops,,,,,,,,,,,,,,0,5
32,32,646238.0,649706,['clear_ball'],,,,,,,,6.0,,,,,,0,5
33,33,649706.0,657254,no_ops,,,,,,,,,,,,,,0,5
34,34,657254.0,658308,['stroller'],,,,,,,,,,,,1.0,,0,5
35,35,658308.0,662626,no_ops,,,,,,,,,,,,,,0,5
36,36,662626.0,674050,['stroller'],,,,,,,,,,,,2.0,,0,5
37,37,674050.0,677892,no_ops,,,,,,,,,,,,,,0,5
38,38,677892.0,707744,['stroller'],,,,,,,,,,,,4.0,,0,5
39,39,707744.0,712708,no_ops,,,,,,,,,,,,,,0,5
40,40,712708.0,723588,['broom'],,,,,,,1.0,,,,,,,0,5
41,41,723588.0,723656,"['broom', 'food']",,,,,,,1.0,,,1.0,,,,0,5
42,42,723656.0,725016,"['broom', 'food', 'grocery_cart']",,,,,,,1.0,,,1.0,1.0,,,0,5
43,43,725016.0,726954,"['broom', 'food']",,,,,,,1.0,,,1.0,,,,0,5
44,44,726954.0,732938,"['broom', 'food', 'grocery_cart']",,,,,,,1.0,,,1.0,2.0,,,0,5
45,45,732938.0,734264,"['broom', 'food']",,,,,,,1.0,,,1.0,,,,0,5
46,46,734264.0,737018,"['broom', 'food', 'grocery_cart']",,,,,,,1.0,,,1.0,3.0,,,0,5
47,47,737018.0,738888,"['broom', 'food']",,,,,,,1.0,,,1.0,,,,0,5
48,48,738888.0,740316,"['broom', 'food', 'grocery_cart']",,,,,,,1.0,,,1.0,4.0,,,0,5
49,49,740316.0,741608,"['broom', 'food']",,,,,,,1.0,,,1.0,,,,0,5
50,50,741608.0,745518,"['broom', 'food', 'grocery_cart']",,,,,,,1.0,,,1.0,5.0,,,0,5
51,51,745518.0,746096,"['broom', 'food']",,,,,,,1.0,,,1.0,,,,0,5
52,52,746096.0,773636,"['food', 'grocery_cart']",,,,,,,,,,1.0,,,,0,5
53,55,774282.0,840480,"['bucket', 'balls']",,,,,,,,,,,,,4.0,1,6
62,64,840480.0,848878,no_ops,,,,,,,,,,,,,,0,7
63,65,848878.0,856902,['balls'],,,,,,,,,15.0,,,,,1,8
64,66,856902.0,862308,"['clear_ball', 'balls']",,,,,,,,7.0,15.0,,,,,0,9
65,67,862308.0,865504,['balls'],,,,,,,,,15.0,,,,,1,10
66,68,868360.0,876792,['clear_ball'],,,,,,,,8.0,,,,,,0,11
67,69,878254.0,879104,['stroller'],,,,,,,,,,,,5.0,,0,11
68,70,879104.0,882368,no_ops,,,,,,,,,,,,,,0,11
69,71,882368.0,919632,['stroller'],,,,,,,,,,,,6.0,,0,11
70,72,919632.0,930750,no_ops,,,,,,,,,,,,,,0,11
71,73,930750.0,931022,['balls'],,,,,,,,,16.0,,,,,1,12
72,74,931022.0,935714,no_ops,,,,,,,,,,,,,,0,13
73,75,935714.0,964376,"['bucket', 'balls']",,,,,,,,,17.0,,,,,1,14
