level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,1755998.0,1762968,no_ops,,,,,,,,,,,,,,0,1
1,1,1762968.0,1765926,"['food', 'grocery_cart']",,,,,,,,,,,21.0,,,0,1
2,4,1768646.0,1772012,['clear_ball'],,,,,,,,13.0,,,,,,0,1
3,5,1772012.0,1775446,no_ops,,,,,,,,,,,,,,0,1
4,6,1775446.0,1777588,['clear_ball'],,,,,,,,14.0,,,,,,0,1
5,7,1777588.0,1780852,no_ops,,,,,,,,,,,,,,0,1
6,8,1780852.0,1783232,['clear_ball'],,,,,,,,15.0,,,,,,0,1
7,9,1783232.0,1790474,no_ops,,,,,,,,,,,,,,0,1
8,10,1790474.0,1806318,"['food', 'grocery_cart']",,,,,,,,,,,22.0,,,0,1
9,13,1806318.0,1817810,no_ops,,,,,,,,,,,,,,0,1
10,14,1817810.0,1826378,"['food', 'grocery_cart']",,,,,,,,,,26.0,,,,0,1
11,19,1826378.0,1829812,no_ops,,,,,,,,,,,,,,0,1
12,20,1829812.0,1841338,['clear_ball'],,,,,,,,16.0,,,,,,0,1
13,21,1841338.0,1844806,no_ops,,,,,,,,,,,,,,0,1
14,22,1844806.0,1849158,"['bucket', 'balls']",,,,,,,,,3.0,,,,3.0,1,2
16,24,1849158.0,1856672,no_ops,,,,,,,,,,,,,,0,3
17,25,1856672.0,1868810,"['bucket', 'balls']",,,,,,,,,,,,,4.0,1,4
22,30,1868810.0,1873774,no_ops,,,,,,,,,,,,,,0,5
23,31,1873774.0,1878092,"['bucket', 'balls']",,,,,,,,,6.0,,,,,1,6
29,37,1878092.0,1881152,no_ops,,,,,,,,,,,,,,0,7
30,38,1881152.0,1929976,"['bucket', 'balls']",,,,,,,,,8.0,,,,,1,8
49,57,1929976.0,1937898,no_ops,,,,,,,,,,,,,,0,9
50,58,1937898.0,1949084,['stroller'],,,,,,,,,,,,8.0,,0,9
51,59,1949084.0,1950444,"['broom', 'stroller']",,,,,,,5.0,,,,,8.0,,0,9
52,60,1950444.0,1951838,['stroller'],,,,,,,,,,,,8.0,,0,9
53,61,1952824.0,1956054,['broom'],,,,,,,6.0,,,,,,,0,9
54,62,1956054.0,1964112,"['broom', 'stroller']",,,,,,,6.0,,,,,9.0,,0,9
55,63,1964112.0,1966288,['stroller'],,,,,,,,,,,,9.0,,0,9
56,64,1967716.0,1968430,['broom'],,,,,,,7.0,,,,,,,0,9
57,65,1968430.0,1969348,"['broom', 'stroller']",,,,,,,7.0,,,,,10.0,,0,9
58,66,1969348.0,1971150,['broom'],,,,,,,7.0,,,,,,,0,9
59,67,1971354.0,1980568,['stroller'],,,,,,,,,,,,11.0,,0,9
60,68,1983560.0,1986892,['broom'],,,,,,,8.0,,,,,,,0,9
61,69,1986892.0,1987606,"['broom', 'stroller']",,,,,,,8.0,,,,,12.0,,0,9
62,70,1987606.0,1987674,['stroller'],,,,,,,,,,,,12.0,,0,9
63,71,1990632.0,1994848,['broom'],,,,,,,9.0,,,,,,,0,9
64,72,1996922.0,2038572,['stroller'],,,,,,,,,,,,13.0,,0,9
65,73,2038572.0,2042006,no_ops,,,,,,,,,,,,,,0,9
66,74,2042006.0,2052682,['stroller'],,,,,,,,,,,,22.0,,0,9
67,75,2052682.0,2057374,no_ops,,,,,,,,,,,,,,0,9
68,76,2057374.0,2061760,['food'],,,,,,,,,,28.0,,,,1,10
69,77,2061760.0,2068220,"['food', 'stroller']",,,,,,,,,,28.0,,24.0,,0,11
70,78,2068220.0,2069478,['stroller'],,,,,,,,,,,,24.0,,0,11
71,79,2069478.0,2077706,no_ops,,,,,,,,,,,,,,0,11
72,80,2077706.0,2086648,"['food', 'grocery_cart']",,,,,,,,,,,24.0,,,0,11
73,83,2086648.0,2090728,"['food', 'stroller']",,,,,,,,,,29.0,,25.0,,0,11
74,84,2090728.0,2091986,['food'],,,,,,,,,,29.0,,,,1,12
75,85,2091986.0,2094604,"['food', 'stroller']",,,,,,,,,,29.0,,26.0,,0,13
76,86,2094604.0,2095658,['food'],,,,,,,,,,29.0,,,,1,14
77,87,2095658.0,2105756,"['food', 'stroller']",,,,,,,,,,29.0,,27.0,,0,15
78,88,2105756.0,2169948,['stroller'],,,,,,,,,,,,27.0,,0,15
79,89,2169948.0,2174062,no_ops,,,,,,,,,,,,,,0,15
80,90,2174062.0,2193782,['stroller'],,,,,,,,,,,,29.0,,0,15
81,91,2193782.0,2200004,no_ops,,,,,,,,,,,,,,0,15
82,92,2200004.0,2214182,['stroller'],,,,,,,,,,,,31.0,,0,15
83,93,2214182.0,2220166,no_ops,,,,,,,,,,,,,,0,15
84,94,2220166.0,2244238,"['food', 'grocery_cart']",,,,,,,,,,,25.0,,,0,15
