level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,834972,838916,,,,,1.0,,,,,,,,,['clear_ball'],0,1
1,1,838916,845172,,,,,,,,,,,,,,no_ops,0,1
2,2,845172,894506,,,,,,,1.0,,,,,,,"['food', 'grocery_cart']",0,1
3,5,895322,895968,,,,,2.0,,,,,,,,,['clear_ball'],0,1
4,6,895968,901680,,,,,,,,,,,,,,no_ops,0,1
5,7,901680,903516,,,,,3.0,,,,,,,,,['clear_ball'],0,1
6,8,905522,944078,,,,,,,2.0,,,,,,,"['food', 'grocery_cart']",0,1
7,15,944078,944350,,,,,4.0,,3.0,,,,,,,"['clear_ball', 'grocery_cart']",0,1
8,16,944350,944928,,,,,4.0,,,,,,,,,['clear_ball'],0,1
9,17,945982,955366,,,,,,,4.0,,,,,,,['grocery_cart'],0,1
10,18,955366,958868,,,,,,,,,,,,,,no_ops,0,1
11,19,958868,975052,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,2
14,22,975052,976208,,1.0,,,,4.0,5.0,,,,,,,"['food', 'grocery_cart', 'bucket']",0,3
15,23,976208,976276,,1.0,,,,,5.0,,,,,,,"['grocery_cart', 'bucket']",0,3
16,24,976276,979744,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,4
18,26,979744,981138,,1.0,2.0,,,,6.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,5
19,27,981138,981342,,1.0,,,,,6.0,,,,,,,"['grocery_cart', 'bucket']",0,5
20,28,981342,984028,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,6
22,30,984028,984062,,1.0,3.0,,,,7.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,7
23,31,984062,984504,,1.0,,,,,7.0,,,,,,,"['grocery_cart', 'bucket']",0,7
24,32,984504,986612,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,8
26,34,986612,986952,,1.0,4.0,,,,8.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,9
27,35,986952,987428,,1.0,,,,,8.0,,,,,,,"['grocery_cart', 'bucket']",0,9
28,36,987428,989740,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,10
30,38,989740,990114,,1.0,5.0,,,,9.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,11
31,39,990114,992018,,1.0,5.0,,,,,,,,,,,"['balls', 'bucket']",1,12
32,40,992018,992358,,1.0,,,,,10.0,,,,,,,"['grocery_cart', 'bucket']",0,13
33,41,992358,994908,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,14
35,43,994908,994942,,1.0,6.0,,,,11.0,,,,,,,"['balls', 'grocery_cart', 'bucket']",0,15
36,44,994942,995180,,1.0,,,,,11.0,,,,,,,"['grocery_cart', 'bucket']",0,15
37,45,995180,999464,,1.0,,,,,,,,,,,,['bucket'],1,16
38,46,1002252,1046180,,,,,,,12.0,,,,,,,"['food', 'grocery_cart']",0,17
39,54,1046180,1046384,,2.0,,,,,12.0,,,,,,,"['grocery_cart', 'bucket']",0,17
40,55,1046384,1049784,,,,,,,12.0,,,,,,,"['food', 'grocery_cart']",0,17
41,57,1049784,1050090,,3.0,,,,9.0,12.0,,,,,,,"['food', 'grocery_cart', 'bucket']",0,17
42,58,1050090,1050226,,3.0,,,,,12.0,,,,,,,"['grocery_cart', 'bucket']",0,17
43,59,1050226,1053728,,,,,,,12.0,,,,,,,"['food', 'grocery_cart']",0,17
44,61,1053728,1053830,,4.0,,,,10.0,12.0,,,,,,,"['food', 'grocery_cart', 'bucket']",0,17
45,62,1053830,1054340,,4.0,,,,,12.0,,,,,,,"['grocery_cart', 'bucket']",0,17
46,63,1054340,1058012,,,,,,,12.0,,,,,,,"['grocery_cart', 'balls']",0,17
47,66,1058012,1062738,,5.0,7.0,,,,,,,,,,,"['bucket', 'balls']",1,18
49,68,1062738,1071170,,5.0,,,,,13.0,,,,,,,"['grocery_cart', 'bucket']",0,19
50,69,1071170,1072904,,5.0,,,,,,,,,,,,['bucket'],1,20
51,70,1074026,1076610,,,,,,,14.0,,,,,,,['grocery_cart'],0,21
52,71,1076916,1081846,,,,,5.0,,,,,,,,,['clear_ball'],0,21
53,72,1081846,1086062,,,,,,,,,,,,,,no_ops,0,21
54,73,1086062,1179256,,,,,,,15.0,,,,,,,"['food', 'grocery_cart']",0,21
55,76,1179256,1179392,,6.0,,,,,15.0,,,,,,,"['grocery_cart', 'bucket']",0,21
56,77,1179392,1186226,,6.0,,,,,,,,,,,,['bucket'],1,22
57,78,1186226,1186464,,6.0,,,,,16.0,,,,,,,"['grocery_cart', 'bucket']",0,23
58,79,1186464,1187416,,6.0,,,,12.0,16.0,,,,,,,"['food', 'grocery_cart', 'bucket']",0,23
59,80,1187416,1187688,,6.0,,,,,16.0,,,,,,,"['grocery_cart', 'bucket']",0,23
60,81,1187688,1188436,,6.0,,,,,,,,,,,,['bucket'],1,24
61,82,1189116,1190204,,,,,,,17.0,,,,,,,['grocery_cart'],0,25
62,83,1190612,1192312,,7.0,,,,,,,,,,,,['bucket'],1,26
63,84,1193842,1224986,,,,,,,18.0,,,,,,,['grocery_cart'],0,27
64,85,1226006,1261876,,,,,,,,,,,,1.0,,['stroller'],0,27
65,86,1261876,1266976,,,,,,,,,,,,,,no_ops,0,27
66,87,1266976,1272110,,,,,,,,,,,,2.0,,['stroller'],0,27
67,88,1272110,1275204,,,,,,,,,,,,,,no_ops,0,27
68,89,1275204,1331610,,,,,,,,,,,,3.0,,['stroller'],0,27
