level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,1644240.0,1652196,no_ops,,,,,,,,,,,,,,0,1
1,1,1652196.0,1669740,['grocery_cart'],,,,,,,,,,,1.0,,,0,1
2,2,1669740.0,1674738,no_ops,,,,,,,,,,,,,,0,1
3,3,1674738.0,1680008,['grocery_cart'],,,,,,,,,,,2.0,,,0,1
4,4,1680008.0,1683816,no_ops,,,,,,,,,,,,,,0,1
5,5,1683816.0,1707072,"['food', 'grocery_cart']",,,,,,,,,,,3.0,,,0,1
6,8,1707072.0,1708806,"['food', 'stroller']",,,,,,,,,,1.0,,1.0,,0,1
7,9,1708806.0,1710064,['stroller'],,,,,,,,,,,,1.0,,0,1
8,10,1710064.0,1714858,no_ops,,,,,,,,,,,,,,0,1
9,11,1714858.0,1722066,"['food', 'grocery_cart']",,,,,,,,,,,4.0,,,0,1
10,14,1722066.0,1722100,"['food', 'stroller']",,,,,,,,,,2.0,,2.0,,0,1
11,15,1722100.0,1722304,['stroller'],,,,,,,,,,,,2.0,,0,1
12,16,1724650.0,1730158,"['food', 'grocery_cart']",,,,,,,,,,,5.0,,,0,1
13,19,1730158.0,1730396,"['food', 'stroller']",,,,,,,,,,3.0,,3.0,,0,1
14,20,1730396.0,1730498,['stroller'],,,,,,,,,,,,3.0,,0,1
15,21,1731688.0,1734170,"['food', 'grocery_cart']",,,,,,,,,,,6.0,,,0,1
16,23,1734170.0,1734408,"['food', 'grocery_cart', 'stroller']",,,,,,,,,,4.0,6.0,4.0,,0,1
17,24,1734408.0,1734680,"['grocery_cart', 'stroller']",,,,,,,,,,,6.0,4.0,,0,1
18,25,1734680.0,1736890,"['food', 'grocery_cart']",,,,,,,,,,,6.0,,,0,1
19,27,1736890.0,1737536,"['grocery_cart', 'stroller']",,,,,,,,,,,6.0,5.0,,0,1
20,28,1737536.0,1753958,"['food', 'grocery_cart']",,,,,,,,,,,6.0,,,0,1
21,34,1753958.0,1754264,"['food', 'grocery_cart', 'stroller']",,,,,,,,,,6.0,8.0,6.0,,0,1
22,35,1754264.0,1754604,"['grocery_cart', 'stroller']",,,,,,,,,,,8.0,6.0,,0,1
23,36,1754604.0,1757902,"['food', 'grocery_cart']",,,,,,,,,,,8.0,,,0,1
24,38,1757902.0,1758106,"['food', 'grocery_cart', 'stroller']",,,,,,,,,,7.0,8.0,7.0,,0,1
25,39,1758106.0,1758344,"['grocery_cart', 'stroller']",,,,,,,,,,,8.0,7.0,,0,1
26,40,1758344.0,1765416,"['food', 'grocery_cart']",,,,,,,,,,,8.0,,,0,1
27,45,1765416.0,1765960,"['food', 'stroller']",,,,,,,,,,8.0,,8.0,,0,1
28,46,1765960.0,1782348,"['food', 'grocery_cart']",,,,,,,,,,8.0,,,,0,1
29,51,1782348.0,1782926,"['food', 'stroller']",,,,,,,,,,8.0,,9.0,,0,1
30,52,1782926.0,1849090,['food'],,,,,,,,,,8.0,,,,1,2
31,53,1849090.0,1874352,"['broom', 'food']",,,,,,,1.0,,,8.0,,,,0,3
32,54,1874352.0,2126972,"['bucket', 'food', 'balls']",,,,,,,,,,8.0,,,,1,4
95,135,2126972.0,2129488,"['balls', 'food', 'stroller']",,,,,,,,,18.0,8.0,,10.0,,0,5
96,136,2129488.0,2130610,"['food', 'balls']",,,,,,,,,18.0,8.0,,,,1,6
97,138,2130610.0,2131358,"['food', 'stroller']",,,,,,,,,,8.0,,11.0,,0,7
98,139,2131358.0,2138022,['food'],,,,,,,,,,8.0,,,,1,8
