level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,405756,464950,,,,,,,1.0,,,,,,,"['food', 'grocery_cart']",0,1
1,12,464950,468214,,,,,,,,,,,,,,no_ops,0,1
2,13,468214,512516,,,,,,4.0,,,,,,,,['food'],1,2
3,14,512516,518024,,,,,,,,,,,,,,no_ops,0,3
4,15,518024,527068,,,,,,,5.0,,,,,,,"['food', 'grocery_cart']",0,3
5,18,527068,533018,,,,,,,,,,,,,,no_ops,0,3
6,19,533018,539410,,,,,1.0,,,,,,,,,['clear_ball'],0,3
7,20,539410,546040,,,,,,,,,,,,,,no_ops,0,3
8,21,546040,546448,,,,,2.0,,,,,,,,,['clear_ball'],0,3
9,22,546448,547094,,,,,2.0,,6.0,,,,,,,"['clear_ball', 'grocery_cart']",0,3
10,23,547094,552364,,,,,,,6.0,,,,,,,"['food', 'grocery_cart']",0,3
11,26,552364,555934,,,,,,,,,,,,,,no_ops,0,3
12,27,555934,564196,,,,,,,7.0,,,,,,,"['food', 'grocery_cart']",0,3
13,30,564196,567562,,,,,,,,,,,,,,no_ops,0,3
14,31,567562,612204,,,,,,,8.0,,,,,,,"['food', 'grocery_cart']",0,3
15,34,612204,616590,,,,,,,,,,,,,,no_ops,0,3
16,35,616590,729402,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,4
31,50,729402,748102,,,2.0,,,,,,,,,1.0,,"['balls', 'stroller']",0,5
32,51,748102,828240,,,,,,,,,,,,1.0,,['stroller'],0,5
33,52,828240,833646,,,,,,,,,,,,,,no_ops,0,5
34,53,833646,873494,,8.0,,,,,,,,,,,,"['bucket', 'balls']",1,6
42,61,873494,876758,,,5.0,,,,,,,,,4.0,,"['balls', 'stroller']",0,7
43,62,876758,933504,,,5.0,,,,,,,,,,,['balls'],1,8
