level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2431782,2458982,,,13.0,,,,,,,,,,,['balls'],1,1
1,1,2458982,2461872,,,13.0,,,,,,,,,9.0,,"['balls', 'stroller']",0,2
2,2,2461872,2479042,,,,,,,,,,,,9.0,,['stroller'],0,2
3,3,2480334,2482850,,,14.0,,,,,,,,,,,['balls'],1,3
4,4,2482850,2484346,,,14.0,,,,,,,,,11.0,,"['balls', 'stroller']",0,4
5,5,2484346,2501244,,,,,,,,,,,,11.0,,['stroller'],0,4
6,6,2501244,2504848,,,,,,,,,,,,,,no_ops,0,4
7,7,2504848,2510016,,,15.0,,,,,,,,,,,['balls'],1,5
8,8,2510016,2510356,,,15.0,,,,,,,,,12.0,,"['balls', 'stroller']",0,6
9,9,2510356,2582436,,,,,,,,,,,,12.0,,['stroller'],0,6
10,10,2582606,2585054,,,,,,,2.0,,,,,,,"['food', 'grocery_cart']",0,6
11,13,2586652,2591718,,,,,,,,,,,,13.0,,['stroller'],0,6
12,14,2593452,2595526,,,16.0,,,,,,,,,,,['balls'],1,7
13,15,2595526,2596308,,,16.0,,,,,,,,,14.0,,"['balls', 'stroller']",0,8
14,16,2596308,2606814,,,,,,,,,,,,14.0,,['stroller'],0,8
15,17,2606814,2608786,,,17.0,,,,,,,,,14.0,,"['balls', 'stroller']",0,8
16,18,2608786,2621196,,,,,,,,,,,,14.0,,['stroller'],0,8
17,19,2621196,2623508,,,18.0,,,,,,,,,14.0,,"['balls', 'stroller']",0,8
18,20,2623508,2626398,,,18.0,,,,,,,,,,,['balls'],1,9
19,21,2626398,2630818,,,,,,,,,,,,,,no_ops,0,10
20,22,2630818,2633878,,,,,,,,,,,,15.0,,['stroller'],0,10
21,23,2633878,2640474,,,,,,,,,,,,,,no_ops,0,10
22,24,2640474,2661010,,9.0,,,,,,,,,,,,['bucket'],1,11
23,25,2661010,2666314,,,,,,,,,,,,,,no_ops,0,12
24,26,2666314,2680560,,,,,,,,,,,,16.0,,['stroller'],0,12
25,27,2680560,2693548,,,,,,,,,,,,,,no_ops,0,12
26,28,2693548,2707964,,,19.0,,,,,,,,,,,['balls'],1,13
27,29,2709290,2867866,,,,,,,,,,,,18.0,,['stroller'],0,14
28,30,2867866,2869906,,,,,,3.0,,,,,,18.0,,"['food', 'stroller']",0,14
29,31,2869906,2876876,,,,,,,,,,,,18.0,,['stroller'],0,14
30,32,2879392,2881874,,,,,,4.0,,,,,,,,['food'],1,15
31,33,2881874,2882588,,,,,,4.0,,,,,,19.0,,"['food', 'stroller']",0,16
32,34,2882588,2892992,,,,,,,,,,,,19.0,,['stroller'],0,16
33,35,2892992,2897956,,,,,,,,,,,,,,no_ops,0,16
34,36,2897956,2904518,,,21.0,,,,,,,,,,,['balls'],1,17
35,37,2905742,2908802,,,,,,,,,,,,20.0,,['stroller'],0,18
