level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2190858,2225300.0,,,,,,3.0,,,,,,,,"['food', 'grocery_cart']",0,1
1,5,2225300,2225572.0,,,,,,3.0,,,,,,11.0,,"['food', 'stroller']",0,1
2,6,2225572,2281638.0,,,,,,3.0,,,,,,,,"['food', 'grocery_cart']",0,1
3,10,2281638,2282080.0,,,,,,5.0,,,,,,12.0,,"['food', 'stroller']",0,1
4,11,2282080,2291668.0,,,,,,,,,,,,12.0,,['stroller'],0,1
5,12,2291668,2302548.0,,,,,,6.0,,,,,,12.0,,"['food', 'stroller']",0,1
6,13,2302548,2312408.0,,,,,,,,,,,,12.0,,['stroller'],0,1
7,14,2312408,2315468.0,,,,,,7.0,,,,,,12.0,,"['food', 'stroller']",0,1
8,15,2315468,2328626.0,,,,,,,,,,,,12.0,,['stroller'],0,1
9,16,2328626,2332604.0,,8.0,,,,,,,,,,12.0,,"['stroller', 'bucket']",0,1
10,17,2332604,2348686.0,,,,,,,,,,,,12.0,,['stroller'],0,1
11,18,2348686,2348754.0,,,18.0,,,,,,,,,12.0,,"['balls', 'stroller']",0,1
12,19,2348754,2350250.0,,,,,,,,,,,,12.0,,['stroller'],0,1
13,20,2351304,2352664.0,,,19.0,,,,,,,,,,,['balls'],1,2
14,21,2352664,2357526.0,,,,,,,,,,,,,,no_ops,0,3
15,22,2357526,2358138.0,,,20.0,,,,,,,,,,,['balls'],1,4
16,23,2358138,2361946.0,,,,,,,,,,,,,,no_ops,0,5
17,24,2361946,2369018.0,,,21.0,,,,,,,,,,,['balls'],1,6
18,25,2369018,2372860.0,,,,,,,,,,,,,,no_ops,0,7
19,26,2372860,2373506.0,,,22.0,,,,,,,,,,,['balls'],1,8
20,27,2373506,2380102.0,,,,,,,,,,,,,,no_ops,0,9
21,28,2380102,2396252.0,,,,,,,,,,,,13.0,,['stroller'],0,9
22,29,2397476,2414680.0,,,,,,8.0,,,,,,,,"['food', 'balls']",1,10
23,32,2414680,2415428.0,,,,,,8.0,,,,,,14.0,,"['food', 'stroller']",0,11
24,33,2415428,2419406.0,,,,,,,,,,,,14.0,,['stroller'],0,11
25,34,2422058,2423826.0,,,,,,9.0,,,,,,,,"['food', 'balls']",1,12
26,37,2424234,2432360.0,,,,,,,,,,,,15.0,,['stroller'],0,13
27,38,2432360,2446878.0,,,,,,,,,,,,,,no_ops,0,13
28,39,2446878,2457452.0,,,,,,,,,,,,16.0,,['stroller'],0,13
29,40,2457452,2472208.0,,,,,,,,,,,,,,no_ops,0,13
30,41,2472208,2472786.0,,,,,4.0,,,,,,,,,['clear_ball'],0,13
31,42,2473398,2475846.0,,,25.0,,,,,,,,,,,['balls'],1,14
32,43,2475846,2488256.0,,,,,,,,,,,,,,no_ops,0,15
33,44,2488256,2502706.0,,,27.0,,,,,,,,,,,['balls'],1,16
34,45,2502706,2520828.0,,,,,,,,,,,,,,no_ops,0,17
35,46,2520828,2568972.0,,,,,,,24.0,,,,,,,"['food', 'grocery_cart', 'balls']",0,17
36,50,2568972,2609840.0,,9.0,30.0,,,10.0,,,,,,,,"['bucket', 'food', 'balls']",1,18
49,63,2609840,2612866.0,,,,,,,,,,,,,,no_ops,0,19
50,64,2612866,2614974.0,,,34.0,,,,,,,,,,,['balls'],1,20
51,65,2614974,2620890.0,,,,,,,,,,,,,,no_ops,0,21
52,66,2620890,2621672.0,,,35.0,,,,,,,,,,,['balls'],1,22
53,67,2621672,2657576.0,,,,,,,,,,,,,,no_ops,0,23
54,68,2657576,2664410.0,,,36.0,,,,,,,,,,,['balls'],1,24
55,69,2664410,2686476.0,,,,,,,,,,,,,,no_ops,0,25
