level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2262122,2269058,,,,,2.0,,,,,,,,,['clear_ball'],0,1
1,1,2269058,2273274,,,,,,,,,,,,,,no_ops,0,1
2,2,2273274,2273376,,,,,3.0,,,,,,,,,['clear_ball'],0,1
3,3,2273376,2277796,,,,,,,,,,,,,,no_ops,0,1
4,4,2277796,2287928,,,,,4.0,,,,,,,,,['clear_ball'],0,1
5,5,2287928,2301766,,,,,,,,,,,,,,no_ops,0,1
6,6,2301766,2302786,,,,,5.0,,,,,,,,,['clear_ball'],0,1
7,7,2302786,2343042,,,,,,,,,,,,,,no_ops,0,1
8,8,2343042,2345456,,,,,6.0,,,,,,,,,['clear_ball'],0,1
9,9,2345456,2378946,,,,,,,,,,,,,,no_ops,0,1
10,10,2378946,2379456,,,,,7.0,,,,,,,,,['clear_ball'],0,1
11,11,2379456,2386426,,,,,,,,,,,,,,no_ops,0,1
12,12,2386426,2387072,,,,,8.0,,,,,,,,,['clear_ball'],0,1
13,13,2387072,2426580,,,,,,,,,,,,,,no_ops,0,1
14,14,2426580,2432598,,,,,9.0,,,,,,,,,['clear_ball'],0,1
15,15,2432598,2506004,,,,,,,,,,,,,,no_ops,0,1
16,16,2506004,2510662,,,,,,,,,,,,14.0,,['stroller'],0,1
17,17,2510662,2514538,,,,,,,,,,,,,,no_ops,0,1
18,18,2514538,2614770,,,,,,,,,,,,15.0,,['stroller'],0,1
19,19,2614770,2619768,,,,,,,,,,,,,,no_ops,0,1
20,20,2619768,2638026,,,,,,,,,,,,20.0,,['stroller'],0,1
21,21,2638026,2642038,,,,,,,,,,,,,,no_ops,0,1
22,22,2642038,2683994,,,,,,,,,,,,21.0,,['stroller'],0,1
23,23,2683994,2687530,,,,,,,,,,,,,,no_ops,0,1
24,24,2687530,2702966,,,,,,4.0,,,,,,,,['food'],1,2
25,25,2702966,2705040,,,,,,4.0,,,,,,22.0,,"['food', 'stroller']",0,3
26,26,2705040,2732376,,,,,,,,,,,,22.0,,['stroller'],0,3
27,27,2732376,2732614,,,,,,,6.0,,,,,22.0,,"['grocery_cart', 'stroller']",0,3
