level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2315298,2316216.0,,,,,,11.0,,,,,,,,['food'],1,1
1,1,2316216,2347496.0,,,,8.0,,11.0,,,,,,,,"['broom', 'food']",0,2
2,2,2347496,2427600.0,,,,,,11.0,,,,,,,,"['food', 'grocery_cart']",0,2
3,15,2427600,2479382.0,,6.0,5.0,,,11.0,,,,,,,,"['bucket', 'food', 'balls']",1,3
12,30,2479382,2480368.0,,,,,8.0,11.0,,,,,,,,"['clear_ball', 'food']",0,4
13,31,2480368,2482578.0,,,,,,11.0,,,,,,,,['food'],1,5
14,32,2482578,2485502.0,,,,,9.0,11.0,,,,,,,,"['clear_ball', 'food']",0,6
15,33,2485502,2507636.0,,,,,,11.0,,,,,,,,['food'],1,7
16,34,2507636,2509336.0,,,,,10.0,11.0,,,,,,,,"['clear_ball', 'food']",0,8
17,35,2509336,2515592.0,,,,,,11.0,,,,,,,,['food'],1,9
18,36,2515592,2515796.0,,,,,11.0,11.0,,,,,,,,"['clear_ball', 'food']",0,10
19,37,2515796,2520658.0,,,,,,11.0,,,,,,,,['food'],1,11
20,38,2520658,2525622.0,,,,9.0,,11.0,,,,,,,,"['broom', 'food']",0,12
21,39,2525622,2526812.0,,,,9.0,,,,,,,,,,['broom'],0,12
22,40,2526812,2531946.0,,,,9.0,,12.0,,,,,,,,"['broom', 'food']",0,12
23,41,2531946,2566660.0,,,,,,12.0,,,,,,,,"['food', 'grocery_cart']",0,12
24,43,2568632,2571216.0,,,,10.0,,,,,,,,,,['broom'],0,12
25,44,2571216,2582878.0,,,,10.0,,,22.0,,,,,,,"['broom', 'grocery_cart']",0,12
26,45,2582878,2584442.0,,,,10.0,,,,,,,,,,['broom'],0,12
27,46,2584442,2587604.0,,,,10.0,,,23.0,,,,,,,"['broom', 'grocery_cart']",0,12
28,47,2587604,2588624.0,,,,10.0,,,,,,,,,,['broom'],0,12
29,48,2591514,2600354.0,,,,,,13.0,,,,,,,,"['food', 'grocery_cart']",0,12
30,50,2600354,2604094.0,,,,,,,,,,,,,,no_ops,0,12
31,51,2604094,2694840.0,,,,,,14.0,,,,,,,,"['food', 'grocery_cart']",0,12
32,56,2694840,2705448.0,,,,,,14.0,,,,,,1.0,,"['food', 'stroller']",0,12
33,57,2705448,2714866.0,,,,,,14.0,,,,,,,,['food'],1,13
34,58,2714866,2722856.0,,,,,,14.0,,,,,,2.0,,"['food', 'stroller']",0,14
35,59,2722856,2750396.0,,,,,,14.0,,,,,,,,['food'],1,15
36,60,2750396,2752062.0,,,,,12.0,14.0,,,,,,,,"['clear_ball', 'food']",0,16
37,61,2752062,2755802.0,,,,,,14.0,,,,,,,,['food'],1,17
38,62,2755802,2757740.0,,,,,13.0,14.0,,,,,,,,"['clear_ball', 'food']",0,18
39,63,2757740,2761106.0,,,,,,14.0,,,,,,,,['food'],1,19
40,64,2761106,2761412.0,,,,,14.0,14.0,,,,,,,,"['clear_ball', 'food']",0,20
41,65,2761412,2786334.0,,,,,,14.0,,,,,,,,"['bucket', 'food', 'balls']",1,21
51,79,2786334,2801634.0,,,,,,,,,,,,,,no_ops,0,22
