level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,257312,311814,,,,,,1.0,,,,,,,,['food'],1,1
1,1,311814,312290,,,,,1.0,1.0,,,,,,,,"['clear_ball', 'food']",0,2
2,2,312290,319872,,,,,1.0,,,,,,,,,['clear_ball'],0,2
3,3,319872,331364,,,,,,,,,,,,,,no_ops,0,2
4,4,331364,382840,,,,,,2.0,,,,,,,,['food'],1,3
5,5,382840,386308,,,,,2.0,2.0,,,,,,,,"['clear_ball', 'food']",0,4
6,6,386308,391714,,,,,,2.0,,,,,,,,['food'],1,5
7,7,392768,400622,,,,,3.0,,,,,,,,,['clear_ball'],0,6
8,8,400622,410142,,,,,,,,,,,,,,no_ops,0,6
9,9,410142,469744,,,,,,3.0,,,,,,,,"['bucket', 'food', 'balls']",1,7
19,24,469744,469982,,,,,,3.0,,,,,,1.0,,"['food', 'stroller']",0,8
20,25,469982,470866,,4.0,,,,3.0,,,,,,1.0,,"['food', 'stroller', 'bucket']",0,8
21,26,470866,473280,,4.0,5.0,,,3.0,,,,,,1.0,,"['balls', 'food', 'stroller', 'bucket']",0,8
22,27,473280,473314,,,5.0,,,3.0,,,,,,1.0,,"['balls', 'food', 'stroller']",0,8
23,28,473314,524756,,,5.0,,,3.0,,,,,,,,"['bucket', 'food', 'balls']",1,9
30,39,524756,548284,,,,,,,,,,,,,,no_ops,0,10
31,40,548284,558450,,,,,,,,,,,,2.0,,['stroller'],0,10
32,41,558450,561646,,,,,4.0,,,,,,,2.0,,"['clear_ball', 'stroller']",0,10
33,42,561646,563890,,,,,,,,,,,,2.0,,['stroller'],0,10
34,43,563890,568786,,,,,5.0,,,,,,,2.0,,"['clear_ball', 'stroller']",0,10
35,44,568786,578646,,,,,,,,,,,,2.0,,['stroller'],0,10
36,45,578646,633114,,,,,,4.0,,,,,,2.0,,"['food', 'stroller']",0,10
37,46,633114,721888,,,,,,4.0,,,,,,,,"['food', 'grocery_cart']",0,10
38,62,721888,722602,,,,,6.0,9.0,,,,,,,,"['clear_ball', 'food']",0,10
39,63,722602,725050,,,,,,9.0,,,,,,,,['food'],1,11
40,64,725050,731204,,,,,7.0,9.0,,,,,,,,"['clear_ball', 'food']",0,12
41,65,731204,758710,,,,,,9.0,,,,,,,,"['food', 'grocery_cart']",0,12
42,68,758710,767550,,,,,,,,,,,,,,no_ops,0,12
43,69,767550,767992,,,,,8.0,,,,,,,,,['clear_ball'],0,12
