level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2469964,2484176.0,,,,,,,,,,,,1.0,,['stroller'],0,1
1,1,2484822,2498218.0,,1.0,1.0,,,,,,,,,,,"['bucket', 'balls']",1,2
5,5,2498218,2499510.0,,,,,,,,,,,,2.0,,['stroller'],0,3
6,6,2500190,2506344.0,,3.0,,,,,,,,,,,,"['bucket', 'balls']",1,4
9,9,2506344,2507160.0,,,3.0,,,,,,,,,3.0,,"['balls', 'stroller']",0,5
10,10,2507160,2508860.0,,,3.0,,,,,,,,,,,['balls'],1,6
11,11,2508962,2509336.0,,,,,,,,,,,,4.0,,['stroller'],0,7
12,12,2510050,2514878.0,,4.0,,,,,,,,,,,,"['bucket', 'balls']",1,8
15,15,2514878,2515014.0,,,4.0,,,,,,,,,5.0,,"['balls', 'stroller']",0,9
16,16,2515014,2515660.0,,,,,,,,,,,,5.0,,['stroller'],0,9
17,17,2517020,2523616.0,,5.0,,,,,,,,,,,,"['bucket', 'balls']",1,10
20,20,2523616,2524228.0,,5.0,,,,,,,,,,6.0,,"['stroller', 'bucket']",0,11
21,21,2524228,2528784.0,,5.0,,,,,,,,,,,,"['bucket', 'balls']",1,12
24,24,2530246,2534190.0,,,,,,,,,,,,7.0,,['stroller'],0,13
25,25,2534190,2534292.0,,,7.0,,,,,,,,,7.0,,"['balls', 'stroller']",0,13
26,26,2534292,2537386.0,,,7.0,,,,,,,,,,,"['bucket', 'balls']",1,14
28,28,2539324,2539528.0,,,,,,,,,,,,8.0,,['stroller'],0,15
29,29,2539528,2541432.0,,,8.0,,,,,,,,,8.0,,"['balls', 'stroller']",0,15
30,30,2541432,2544526.0,,,,,,,,,,,,8.0,,['stroller'],0,15
31,31,2545478,2546328.0,,,9.0,,,,,,,,,,,['balls'],1,16
32,32,2547212,2566218.0,,,,,,,,,,,,9.0,,['stroller'],0,17
33,33,2566218,2571114.0,,,,,,,,,,,,,,no_ops,0,17
34,34,2571114,2594438.0,,,,,,,,,,,,10.0,,['stroller'],0,17
35,35,2595594,2596002.0,,,10.0,,,,,,,,,,,['balls'],1,18
36,36,2596002,2596954.0,,,10.0,,,,,,,,,11.0,,"['balls', 'stroller']",0,19
37,37,2596954,2597804.0,,,10.0,,,,,,,,,,,['balls'],1,20
38,38,2597804,2604944.0,,,,,,,,,,,,,,no_ops,0,21
39,39,2604944,2610486.0,,,11.0,,,,,,,,,,,['balls'],1,22
40,40,2610486,2615042.0,,,,,,,,,,,,,,no_ops,0,23
41,41,2615042,2620414.0,,,12.0,,,,,,,,,,,"['bucket', 'balls']",1,24
44,44,2622522,2659412.0,,,,,,,,,,,,12.0,,['stroller'],0,25
45,45,2659412,2671958.0,,,,,,,,,,,,,,no_ops,0,25
46,46,2671958,2674678.0,,,,,,,,,,,,13.0,,['stroller'],0,25
47,47,2674678,2678622.0,,,,,,,,,,,,,,no_ops,0,25
48,48,2678622,2699056.0,,,,,,,14.0,,,,,,,['grocery_cart'],0,25
49,49,2699056,2708474.0,,,,,,,15.0,,,,,14.0,,"['grocery_cart', 'stroller']",0,25
50,50,2708474,2708644.0,,,,,,,,,,,,14.0,,['stroller'],0,25
51,51,2710242,2712078.0,,,,,1.0,,,,,,,,,['clear_ball'],0,25
52,52,2712078,2719660.0,,,,,,,,,,,,,,no_ops,0,25
53,53,2719660,2746656.0,,,,,,,16.0,,,,,,,"['grocery_cart', 'balls']",0,25
54,55,2746656,2750736.0,,,,,,,,,,,,,,no_ops,0,25
55,56,2750736,2776372.0,,,,,,,17.0,,,,,,,"['food', 'grocery_cart']",0,25
56,61,2778888,2814112.0,,,,,,,,,,,,15.0,,['stroller'],0,25
57,62,2816934,2819416.0,,,,,2.0,,,,,,,,,['clear_ball'],0,25
58,63,2819416,2825196.0,,,,,,,,,,,,,,no_ops,0,25
59,64,2825196,2831078.0,,,,,,,,,,,,16.0,,['stroller'],0,25
60,65,2831078,2842740.0,,,,,,,,,,,,,,no_ops,0,25
61,66,2842740,2845358.0,,,,,,,,,,,,17.0,,['stroller'],0,25
62,67,2845358,2854368.0,,,,,,,,,,,,,,no_ops,0,25
63,68,2854368,2857530.0,,,,,,,,,,,,18.0,,['stroller'],0,25
64,69,2859366,2898466.0,,,,,,,19.0,,,,,,,"['food', 'grocery_cart']",0,25
65,76,2898466,2902036.0,,,,,,,,,,,,,,no_ops,0,25
66,77,2902036,2909346.0,,,,,,,,,,,,19.0,,['stroller'],0,25
67,78,2910672,2915194.0,,,,,,,20.0,,,,,,,['grocery_cart'],0,25
68,79,2916486,2935866.0,,,,,,,,,,,,20.0,,['stroller'],0,25
69,80,2937396,2941136.0,,,,,,15.0,,,,,,,,"['food', 'grocery_cart']",0,25
70,82,2941136,2944332.0,,,,,,,,,,,,,,no_ops,0,25
71,83,2944332,2949194.0,,,,,,16.0,,,,,,,,"['food', 'grocery_cart']",0,25
72,86,2949194,2952628.0,,,,,,,,,,,,,,no_ops,0,25
73,87,2952628,2960958.0,,,,,,17.0,,,,,,,,"['food', 'grocery_cart']",0,25
