level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,362474.0,376516.0,no_ops,,,,,,,,,,,,,,0,1
1,1,376516.0,382976.0,['clear_ball'],,,,,,,,1.0,,,,,,0,1
2,2,382976.0,392020.0,no_ops,,,,,,,,,,,,,,0,1
3,3,392020.0,397052.0,['clear_ball'],,,,,,,,3.0,,,,,,0,1
4,4,397052.0,402050.0,no_ops,,,,,,,,,,,,,,0,1
5,5,402050.0,404396.0,['clear_ball'],,,,,,,,4.0,,,,,,0,1
6,6,404396.0,409870.0,no_ops,,,,,,,,,,,,,,0,1
7,7,409870.0,411944.0,['clear_ball'],,,,,,,,5.0,,,,,,0,1
8,8,411944.0,420512.0,no_ops,,,,,,,,,,,,,,0,1
9,9,420512.0,422518.0,['clear_ball'],,,,,,,,6.0,,,,,,0,1
10,10,422518.0,429182.0,no_ops,,,,,,,,,,,,,,0,1
11,11,429182.0,430848.0,['clear_ball'],,,,,,,,7.0,,,,,,0,1
12,12,430848.0,437070.0,no_ops,,,,,,,,,,,,,,0,1
13,13,437070.0,439144.0,['clear_ball'],,,,,,,,8.0,,,,,,0,1
14,14,439144.0,445536.0,no_ops,,,,,,,,,,,,,,0,1
15,15,445536.0,451520.0,['clear_ball'],,,,,,,,9.0,,,,,,0,1
16,16,451520.0,456178.0,no_ops,,,,,,,,,,,,,,0,1
17,17,456178.0,459238.0,['clear_ball'],,,,,,,,11.0,,,,,,0,1
18,18,459238.0,463692.0,no_ops,,,,,,,,,,,,,,0,1
19,19,463692.0,470390.0,['clear_ball'],,,,,,,,12.0,,,,,,0,1
20,20,470390.0,477564.0,no_ops,,,,,,,,,,,,,,0,1
21,21,477564.0,480624.0,['clear_ball'],,,,,,,,13.0,,,,,,0,1
22,22,480624.0,487594.0,no_ops,,,,,,,,,,,,,,0,1
23,23,487594.0,489940.0,['clear_ball'],,,,,,,,14.0,,,,,,0,1
24,24,489940.0,494122.0,no_ops,,,,,,,,,,,,,,0,1
25,25,494122.0,495856.0,['clear_ball'],,,,,,,,15.0,,,,,,0,1
26,26,495856.0,499596.0,no_ops,,,,,,,,,,,,,,0,1
27,27,499596.0,501500.0,['clear_ball'],,,,,,,,16.0,,,,,,0,1
28,28,501500.0,509898.0,no_ops,,,,,,,,,,,,,,0,1
29,29,509898.0,512142.0,['clear_ball'],,,,,,,,17.0,,,,,,0,1
30,30,512142.0,519452.0,no_ops,,,,,,,,,,,,,,0,1
31,31,519452.0,551310.0,['clear_ball'],,,,,,,,18.0,,,,,,0,1
32,32,551310.0,555866.0,no_ops,,,,,,,,,,,,,,0,1
33,33,555866.0,558824.0,"['stroller', 'bucket']",,,,,,,,,,,,1.0,1.0,0,1
34,34,558824.0,571098.0,"['bucket', 'balls']",,,,,,,,,,,,,1.0,1,2
37,37,571098.0,574498.0,no_ops,,,,,,,,,,,,,,0,3
38,38,574498.0,586364.0,"['bucket', 'balls']",,,,,,,,,,,,,2.0,1,4
44,44,586364.0,589390.0,no_ops,,,,,,,,,,,,,,0,5
45,45,589390.0,724676.0,"['bucket', 'balls']",,,,,,,,,3.0,,,,5.0,1,6
65,65,724676.0,728620.0,no_ops,,,,,,,,,,,,,,0,7
66,66,728620.0,732666.0,['balls'],,,,,,,,,12.0,,,,,1,8
67,67,732666.0,738174.0,no_ops,,,,,,,,,,,,,,0,9
68,68,738174.0,742084.0,['balls'],,,,,,,,,13.0,,,,,1,10
69,69,742084.0,746028.0,"['clear_ball', 'balls']",,,,,,,,22.0,13.0,,,,,0,11
70,70,746028.0,749088.0,['clear_ball'],,,,,,,,22.0,,,,,,0,11
71,71,749088.0,755990.0,no_ops,,,,,,,,,,,,,,0,11
72,72,755990.0,757180.0,['balls'],,,,,,,,,14.0,,,,,1,12
73,73,757180.0,759594.0,"['clear_ball', 'balls']",,,,,,,,23.0,14.0,,,,,0,13
74,74,759594.0,760988.0,['clear_ball'],,,,,,,,23.0,,,,,,0,13
75,75,760988.0,774112.0,no_ops,,,,,,,,,,,,,,0,13
76,76,774112.0,786114.0,['stroller'],,,,,,,,,,,,2.0,,0,13
77,77,786114.0,806310.0,no_ops,,,,,,,,,,,,,,0,13
78,78,806310.0,808316.0,['stroller'],,,,,,,,,,,,3.0,,0,13
79,79,808316.0,879784.0,no_ops,,,,,,,,,,,,,,0,13
80,80,879784.0,889202.0,"['food', 'grocery_cart']",,,,,,,,,,,1.0,,,0,13
81,83,889202.0,903278.0,no_ops,,,,,,,,,,,,,,0,13
82,84,903278.0,915722.0,['food'],,,,,,,,,,2.0,,,,1,14
