level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,781252,798762,,1.0,1.0,,,,,,,,,,,"['bucket', 'balls']",1,1
4,4,798762,812158,,,,,,,,,,,,,,no_ops,0,2
5,5,812158,817700,,,2.0,,,,,,,,,,,"['bucket', 'balls']",1,3
8,8,817700,821610,,,,,,,,,,,,,,no_ops,0,4
9,9,821610,824534,,,3.0,,,,,,,,,,,"['bucket', 'balls']",1,5
12,12,825656,853468,,,,1.0,,,,,,,,,,['broom'],0,6
13,13,853468,861220,,,,,,,,,,,,,,no_ops,0,6
14,14,861220,912050,,,,,,,,,,,,1.0,,['stroller'],0,6
15,15,912050,914226,,,,2.0,,,,,,,,2.0,,"['broom', 'stroller']",0,6
16,16,914226,915008,,,,,,,,,,,,2.0,,['stroller'],0,6
17,17,915008,918340,,,,,,,,,,,,,,no_ops,0,6
18,18,918340,921910,,,,,1.0,,,,,,,,,['clear_ball'],0,6
19,19,921910,925310,,,,,,,,,,,,,,no_ops,0,6
20,20,925310,926466,,,,,2.0,,,,,,,,,['clear_ball'],0,6
21,21,926466,931090,,,,,,,,,,,,,,no_ops,0,6
22,22,931090,966824,,,,,,,,,,,,3.0,,['stroller'],0,6
23,23,967164,979030,,,,,,,1.0,,,,,,,"['food', 'grocery_cart']",0,6
24,26,980152,986068,,,,,,,,,,,,4.0,,['stroller'],0,6
25,27,986850,1020136,,,,,,,2.0,,,,,,,"['food', 'grocery_cart']",0,6
26,35,1020136,1025372,,,,,,,,,,,,,,no_ops,0,6
27,36,1025372,1117172,,,,,,,,,,,,5.0,,['stroller'],0,6
28,37,1119042,1133390,,,,3.0,,,,,,,,,,['broom'],0,6
29,38,1133390,1136586,,,,,,,,,,,,,,no_ops,0,6
30,39,1136586,1140768,,,,4.0,,,,,,,,,,['broom'],0,6
31,40,1140768,1144780,,,,,,,,,,,,,,no_ops,0,6
32,41,1144780,1146514,,,,5.0,,,,,,,,,,['broom'],0,6
33,42,1146514,1151002,,,,,,,,,,,,,,no_ops,0,6
34,43,1151002,1167560,,,,,,,,,,,,6.0,,['stroller'],0,6
35,44,1169498,1195474,,,,,,,5.0,,,,,,,"['food', 'grocery_cart']",0,6
36,47,1195474,1202104,,,,,,,,,,,,,,no_ops,0,6
37,48,1202104,1210672,,,,,,,,,,,,7.0,,['stroller'],0,6
38,49,1211624,1227570,,,,,,6.0,,,,,,,,"['food', 'grocery_cart']",0,6
39,54,1227570,1230664,,,,,,,,,,,,,,no_ops,0,6
40,55,1230664,1233894,,,,,,,,,,,,8.0,,['stroller'],0,6
41,56,1235526,1238008,,,,,,,8.0,,,,,,,"['food', 'grocery_cart']",0,6
42,59,1238008,1238484,,,,,,9.0,,,,,,9.0,,"['food', 'stroller']",0,6
43,60,1238484,1239062,,,,,,,,,,,,9.0,,['stroller'],0,6
44,61,1240252,1242598,,,,,,,9.0,,,,,,,"['food', 'grocery_cart']",0,6
45,64,1242598,1243312,,,,,,10.0,,,,,,10.0,,"['food', 'stroller']",0,6
46,65,1243312,1243822,,,,,,,,,,,,10.0,,['stroller'],0,6
47,66,1244434,1246644,,,,,,,10.0,,,,,,,"['food', 'grocery_cart']",0,6
48,69,1246644,1246848,,,,,,11.0,,,,,,11.0,,"['food', 'stroller']",0,6
49,70,1246848,1247358,,,,,,,,,,,,11.0,,['stroller'],0,6
50,71,1248004,1250452,,,,,,,11.0,,,,,,,"['food', 'grocery_cart']",0,6
51,74,1250452,1250690,,,,,,12.0,,,,,,12.0,,"['food', 'stroller']",0,6
52,75,1250690,1251302,,,,,,,,,,,,12.0,,['stroller'],0,6
53,76,1252186,1254430,,,,,,,12.0,,,,,,,"['food', 'grocery_cart']",0,6
54,79,1254430,1255076,,,,,,13.0,,,,,,13.0,,"['food', 'stroller']",0,6
55,80,1255076,1255790,,,,,,,,,,,,13.0,,['stroller'],0,6
56,81,1256810,1259156,,,,,,,13.0,,,,,,,"['food', 'grocery_cart']",0,6
57,84,1259156,1259292,,,,,,14.0,,,,,,14.0,,"['food', 'stroller']",0,6
58,85,1259292,1259768,,,,,,,,,,,,14.0,,['stroller'],0,6
59,86,1261264,1262602,,,,,,15.0,,,,,,,,['food'],1,7
