level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,177004.0,241434.0,no_ops,,,,,,,,,,,,,,0,1
1,1,241434.0,295766.0,['grocery_cart'],,,,,,,,,,,1.0,,,0,1
2,2,295766.0,299846.0,no_ops,,,,,,,,,,,,,,0,1
3,3,299846.0,365534.0,"['food', 'grocery_cart']",,,,,,,,,,,2.0,,,0,1
4,12,367914.0,370362.0,['clear_ball'],,,,,,,,1.0,,,,,,0,1
5,13,370362.0,374000.0,no_ops,,,,,,,,,,,,,,0,1
6,14,374000.0,383690.0,['clear_ball'],,,,,,,,2.0,,,,,,0,1
7,15,383690.0,389878.0,no_ops,,,,,,,,,,,,,,0,1
8,16,389878.0,395794.0,['clear_ball'],,,,,,,,3.0,,,,,,0,1
9,17,395794.0,401812.0,no_ops,,,,,,,,,,,,,,0,1
10,18,401812.0,419424.0,['clear_ball'],,,,,,,,4.0,,,,,,0,1
11,19,419662.0,464304.0,['grocery_cart'],,,,,,,,,,,6.0,,,0,1
12,20,464304.0,481338.0,no_ops,,,,,,,,,,,,,,0,1
13,21,481338.0,583984.0,"['bucket', 'balls']",,,,,,,,,,,,,1.0,1,2
27,35,583984.0,595748.0,no_ops,,,,,,,,,,,,,,0,3
28,36,595748.0,599454.0,"['bucket', 'balls']",,,,,,,,,3.0,,,,,1,4
30,38,599454.0,619412.0,no_ops,,,,,,,,,,,,,,0,5
31,39,619412.0,625192.0,"['bucket', 'balls']",,,,,,,,,4.0,,,,,1,6
34,42,625192.0,631346.0,no_ops,,,,,,,,,,,,,,0,7
35,43,631346.0,636582.0,['balls'],,,,,,,,,5.0,,,,,1,8
36,44,636582.0,683264.0,no_ops,,,,,,,,,,,,,,0,9
37,45,683264.0,685984.0,['stroller'],,,,,,,,,,,,1.0,,0,9
