level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,1865920.0,1872992.0,no_ops,,,,,,,,,,,,,,0,1
1,1,1872992.0,1877004.0,['stroller'],,,,,,,,,,,,9.0,,0,1
2,2,1877888.0,1880370.0,['broom'],,,,,,,6.0,,,,,,,0,1
3,3,1880370.0,1884348.0,no_ops,,,,,,,,,,,,,,0,1
4,4,1884348.0,1889720.0,['broom'],,,,,,,7.0,,,,,,,0,1
5,5,1889720.0,1893324.0,"['broom', 'bucket']",,,,,,,7.0,,,,,,2.0,0,1
6,6,1893324.0,1911480.0,['broom'],,,,,,,7.0,,,,,,,0,1
7,7,1911480.0,1912296.0,"['broom', 'bucket']",,,,,,,7.0,,,,,,3.0,0,1
8,8,1912296.0,1914472.0,['broom'],,,,,,,7.0,,,,,,,0,1
9,9,1914472.0,1922054.0,no_ops,,,,,,,,,,,,,,0,1
10,10,1922054.0,1929466.0,['balls'],,,,,,,,,4.0,,,,,1,2
11,11,1929466.0,1953096.0,no_ops,,,,,,,,,,,,,,0,3
12,12,1953096.0,1963670.0,"['bucket', 'balls']",,,,,,,,,6.0,,,,,1,4
15,15,1963670.0,1973088.0,no_ops,,,,,,,,,,,,,,0,5
16,16,1973088.0,1981690.0,"['bucket', 'balls']",,,,,,,,,7.0,,,,,1,6
18,18,1981690.0,1988694.0,no_ops,,,,,,,,,,,,,,0,7
19,19,1988694.0,1992332.0,['balls'],,,,,,,,,8.0,,,,,1,8
20,20,1992332.0,2002498.0,no_ops,,,,,,,,,,,,,,0,9
21,21,2002498.0,2002600.0,['balls'],,,,,,,,,9.0,,,,,1,10
22,22,2002600.0,2005728.0,no_ops,,,,,,,,,,,,,,0,11
23,23,2005728.0,2016574.0,"['bucket', 'balls']",,,,,,,,,10.0,,,,,1,12
26,26,2016574.0,2020790.0,no_ops,,,,,,,,,,,,,,0,13
27,27,2020790.0,2027114.0,"['bucket', 'balls']",,,,,,,,,11.0,,,,,1,14
30,30,2027114.0,2032044.0,no_ops,,,,,,,,,,,,,,0,15
31,31,2032044.0,2045780.0,"['bucket', 'balls']",,,,,,,,,,,,,8.0,1,16
40,40,2045780.0,2049656.0,no_ops,,,,,,,,,,,,,,0,17
41,41,2049656.0,2057816.0,"['bucket', 'balls']",,,,,,,,,15.0,,,,,1,18
44,44,2057816.0,2064242.0,no_ops,,,,,,,,,,,,,,0,19
45,45,2064242.0,2068186.0,"['bucket', 'balls']",,,,,,,,,16.0,,,,,1,20
48,48,2068186.0,2072266.0,no_ops,,,,,,,,,,,,,,0,21
49,49,2072266.0,2089028.0,"['bucket', 'balls']",,,,,,,,,17.0,,,,,1,22
51,51,2089028.0,2126190.0,['grocery_cart'],,,,,,,,,,,7.0,,,0,23
52,52,2126190.0,2145332.0,no_ops,,,,,,,,,,,,,,0,23
53,53,2145332.0,2145672.0,['bucket'],,,,,,,,,,,,,14.0,1,24
54,54,2146760.0,2154682.0,['grocery_cart'],,,,,,,,,,,10.0,,,0,25
55,55,2154682.0,2158388.0,no_ops,,,,,,,,,,,,,,0,25
56,56,2158388.0,2180828.0,"['food', 'grocery_cart']",,,,,,,,,,,11.0,,,0,25
57,59,2180828.0,2185622.0,no_ops,,,,,,,,,,,,,,0,25
58,60,2185622.0,2213604.0,"['food', 'grocery_cart']",,,,,,,,,,,14.0,,,0,25
59,74,2213604.0,2217174.0,no_ops,,,,,,,,,,,,,,0,25
60,75,2217174.0,2217922.0,['bucket'],,,,,,,,,,,,,15.0,1,26
61,76,2217922.0,2222410.0,no_ops,,,,,,,,,,,,,,0,27
62,77,2222410.0,2241348.0,"['bucket', 'balls']",,,,,,,,,18.0,,,,,1,28
69,84,2241348.0,2248692.0,no_ops,,,,,,,,,,,,,,0,29
70,85,2248692.0,2252840.0,['bucket'],,,,,,,,,,,,,20.0,1,30
71,86,2252840.0,2260218.0,no_ops,,,,,,,,,,,,,,0,31
72,87,2260218.0,2287146.0,"['bucket', 'balls']",,,,,,,,,20.0,,,,,1,32
75,90,2287146.0,2292008.0,no_ops,,,,,,,,,,,,,,0,33
76,91,2292008.0,2306560.0,"['bucket', 'balls']",,,,,,,,,21.0,,,,,1,34
79,94,2308702.0,2313156.0,['grocery_cart'],,,,,,,,,,,20.0,,,0,35
80,95,2313156.0,2353922.0,no_ops,,,,,,,,,,,,,,0,35
81,96,2353922.0,2355214.0,['clear_ball'],,,,,,,,4.0,,,,,,0,35
82,97,2355214.0,2360314.0,no_ops,,,,,,,,,,,,,,0,35
83,98,2360314.0,2363884.0,['clear_ball'],,,,,,,,5.0,,,,,,0,35
84,99,2363884.0,2369392.0,no_ops,,,,,,,,,,,,,,0,35
85,100,2369392.0,2377348.0,['clear_ball'],,,,,,,,6.0,,,,,,0,35
