level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,2458608.0,2465952,['clear_ball'],,,,,,,,2.0,,,,,,0,1
1,1,2465952.0,2470950,no_ops,,,,,,,,,,,,,,0,1
2,2,2470950.0,2480810,['clear_ball'],,,,,,,,4.0,,,,,,0,1
3,3,2480810.0,2484516,no_ops,,,,,,,,,,,,,,0,1
4,4,2484516.0,2490194,['clear_ball'],,,,,,,,9.0,,,,,,0,1
5,5,2490194.0,2494716,no_ops,,,,,,,,,,,,,,0,1
6,6,2494716.0,2494852,['clear_ball'],,,,,,,,10.0,,,,,,0,1
7,7,2494852.0,2498864,no_ops,,,,,,,,,,,,,,0,1
8,8,2498864.0,2499408,['clear_ball'],,,,,,,,11.0,,,,,,0,1
9,9,2499408.0,2502570,no_ops,,,,,,,,,,,,,,0,1
10,10,2502570.0,2505154,['clear_ball'],,,,,,,,12.0,,,,,,0,1
11,11,2505154.0,2508452,no_ops,,,,,,,,,,,,,,0,1
12,12,2508452.0,2562444,"['bucket', 'balls']",,,,,,,,,,,,,7.0,1,2
24,24,2562444.0,2566762,no_ops,,,,,,,,,,,,,,0,3
25,25,2566762.0,2584034,['balls'],,,,,,,,,21.0,,,,,1,4
26,26,2584034.0,2587842,no_ops,,,,,,,,,,,,,,0,5
27,27,2587842.0,2590936,['clear_ball'],,,,,,,,14.0,,,,,,0,5
28,28,2590936.0,2594506,no_ops,,,,,,,,,,,,,,0,5
29,29,2594506.0,2595594,['clear_ball'],,,,,,,,15.0,,,,,,0,5
30,30,2597804.0,2601170,['balls'],,,,,,,,,22.0,,,,,1,6
31,31,2601170.0,2637754,no_ops,,,,,,,,,,,,,,0,7
32,32,2637754.0,2641596,['balls'],,,,,,,,,23.0,,,,,1,8
33,33,2644588.0,2645846,['clear_ball'],,,,,,,,16.0,,,,,,0,9
34,34,2647308.0,2650300,['balls'],,,,,,,,,24.0,,,,,1,10
35,35,2652816.0,2657474,['clear_ball'],,,,,,,,17.0,,,,,,0,11
36,36,2657474.0,2661078,no_ops,,,,,,,,,,,,,,0,11
37,37,2661078.0,2679642,['balls'],,,,,,,,,25.0,,,,,1,12
38,38,2679642.0,2688482,no_ops,,,,,,,,,,,,,,0,13
39,39,2688482.0,2688788,['balls'],,,,,,,,,26.0,,,,,1,14
40,40,2688788.0,2693548,no_ops,,,,,,,,,,,,,,0,15
41,41,2693548.0,2704326,['balls'],,,,,,,,,27.0,,,,,1,16
42,42,2704326.0,2707828,no_ops,,,,,,,,,,,,,,0,17
43,43,2707828.0,2720850,['balls'],,,,,,,,,29.0,,,,,1,18
44,44,2720850.0,2727990,no_ops,,,,,,,,,,,,,,0,19
45,45,2727990.0,2738292,"['bucket', 'balls']",,,,,,,,,,,,,15.0,1,20
50,50,2738292.0,2741624,no_ops,,,,,,,,,,,,,,0,21
51,51,2741624.0,2741896,['balls'],,,,,,,,,33.0,,,,,1,22
52,52,2743494.0,2745432,['clear_ball'],,,,,,,,18.0,,,,,,0,23
53,53,2745432.0,2748934,no_ops,,,,,,,,,,,,,,0,23
54,54,2748934.0,2759406,['clear_ball'],,,,,,,,19.0,,,,,,0,23
55,55,2759406.0,2764982,no_ops,,,,,,,,,,,,,,0,23
56,56,2764982.0,2800376,"['food', 'grocery_cart']",,,,,,,,,,,24.0,,,0,23
57,65,2800376.0,2803674,no_ops,,,,,,,,,,,,,,0,23
58,66,2803674.0,2804354,['grocery_cart'],,,,,,,,,,,29.0,,,0,23
59,67,2804354.0,2811494,no_ops,,,,,,,,,,,,,,0,23
60,68,2811494.0,2817886,['food'],,,,,,,,,,13.0,,,,1,24
61,69,2817886.0,2822578,no_ops,,,,,,,,,,,,,,0,25
62,70,2822578.0,2865622,['food'],,,,,,,,,,14.0,,,,1,26
63,71,2865622.0,2870042,no_ops,,,,,,,,,,,,,,0,27
64,72,2870042.0,2877556,['food'],,,,,,,,,,16.0,,,,1,28
65,73,2877556.0,2882860,no_ops,,,,,,,,,,,,,,0,29
66,74,2882860.0,2898466,['food'],,,,,,,,,,17.0,,,,1,30
67,75,2898466.0,2902308,no_ops,,,,,,,,,,,,,,0,31
68,76,2902308.0,2914990,"['food', 'grocery_cart']",,,,,,,,,,18.0,,,,0,31
69,78,2914990.0,2915534,"['clear_ball', 'food', 'grocery_cart']",,,,,,,,22.0,,18.0,30.0,,,0,31
70,79,2915534.0,2917030,"['clear_ball', 'grocery_cart']",,,,,,,,22.0,,,30.0,,,0,31
71,80,2917030.0,2917234,['grocery_cart'],,,,,,,,,,,30.0,,,0,31
72,81,2917234.0,2923796,no_ops,,,,,,,,,,,,,,0,31
73,82,2923796.0,2925836,['clear_ball'],,,,,,,,23.0,,,,,,0,31
74,83,2925836.0,2928896,no_ops,,,,,,,,,,,,,,0,31
75,84,2928896.0,2931038,['clear_ball'],,,,,,,,24.0,,,,,,0,31
76,85,2931038.0,2938620,no_ops,,,,,,,,,,,,,,0,31
77,86,2938620.0,2944332,['clear_ball'],,,,,,,,25.0,,,,,,0,31
78,87,2944332.0,2944638,"['clear_ball', 'balls']",,,,,,,,25.0,34.0,,,,,0,31
79,88,2944638.0,2946610,['clear_ball'],,,,,,,,25.0,,,,,,0,31
