level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,905012.0,932450,"['food', 'grocery_cart']",,,,,,,,,,1.0,1.0,,,0,1
1,6,932450.0,935782,no_ops,,,,,,,,,,,,,,0,1
2,7,935782.0,945676,['broom'],,,,,,,1.0,,,,,,,0,1
3,8,946696.0,977500,"['food', 'grocery_cart']",,,,,,,,,,,3.0,,,0,1
4,13,978928.0,1000450,['broom'],,,,,,,2.0,,,,,,,0,1
5,14,1001538.0,1012282,['grocery_cart'],,,,,,,,,,,6.0,,,0,1
6,15,1014560.0,1029214,['stroller'],,,,,,,,,,,,1.0,,0,1
7,16,1029214.0,1032512,no_ops,,,,,,,,,,,,,,0,1
8,17,1032512.0,1035878,"['food', 'grocery_cart']",,,,,,,,,,,7.0,,,0,1
9,20,1035878.0,1038666,"['food', 'stroller']",,,,,,,,,,4.0,,2.0,,0,1
10,21,1038666.0,1039142,['stroller'],,,,,,,,,,,,2.0,,0,1
11,22,1040672.0,1044718,"['food', 'grocery_cart']",,,,,,,,,,,8.0,,,0,1
12,25,1044718.0,1046180,"['food', 'stroller']",,,,,,,,,,5.0,,3.0,,0,1
13,26,1046180.0,1046248,['stroller'],,,,,,,,,,,,3.0,,0,1
14,27,1048016.0,1052266,"['food', 'grocery_cart']",,,,,,,,,,,9.0,,,0,1
15,30,1052266.0,1054034,"['food', 'stroller']",,,,,,,,,,6.0,,4.0,,0,1
16,31,1055666.0,1061786,"['food', 'grocery_cart']",,,,,,,,,,7.0,10.0,,,0,1
17,33,1061786.0,1063486,"['food', 'stroller']",,,,,,,,,,7.0,,5.0,,0,1
18,34,1063486.0,1071068,"['food', 'grocery_cart']",,,,,,,,,,7.0,,,,0,1
19,37,1071068.0,1072462,"['food', 'stroller']",,,,,,,,,,8.0,,6.0,,0,1
20,38,1072462.0,1076304,['food'],,,,,,,,,,8.0,,,,1,2
21,39,1076304.0,1076372,"['food', 'stroller']",,,,,,,,,,9.0,,7.0,,0,3
22,40,1076372.0,1079636,['food'],,,,,,,,,,9.0,,,,1,4
23,41,1079636.0,1088680,"['broom', 'food']",,,,,,,3.0,,,9.0,,,,0,5
24,42,1088680.0,1090754,['food'],,,,,,,,,,9.0,,,,1,6
25,43,1090754.0,1091230,"['food', 'stroller']",,,,,,,,,,9.0,,8.0,,0,7
26,44,1091230.0,1094834,['stroller'],,,,,,,,,,,,8.0,,0,7
27,45,1094834.0,1097928,"['broom', 'stroller']",,,,,,,4.0,,,,,9.0,,0,7
28,46,1097928.0,1112106,['stroller'],,,,,,,,,,,,9.0,,0,7
29,47,1112106.0,1116186,no_ops,,,,,,,,,,,,,,0,7
30,48,1116186.0,1156748,"['bucket', 'balls']",,,,,,,,,1.0,,,,1.0,1,8
34,52,1156748.0,1158958,"['clear_ball', 'balls']",,,,,,,,1.0,1.0,,,,,0,9
35,53,1158958.0,1187994,"['bucket', 'balls']",,,,,,,,,1.0,,,,,1,10
39,57,1187994.0,1198126,no_ops,,,,,,,,,,,,,,0,11
40,58,1198126.0,1207544,"['bucket', 'balls']",,,,,,,,,2.0,,,,,1,12
42,60,1207544.0,1217744,no_ops,,,,,,,,,,,,,,0,13
43,61,1217744.0,1226278,"['bucket', 'balls']",,,,,,,,,3.0,,,,,1,14
45,63,1229066.0,1244264,['broom'],,,,,,,5.0,,,,,,,0,15
46,64,1244264.0,1249976,no_ops,,,,,,,,,,,,,,0,15
47,65,1249976.0,1273844,['stroller'],,,,,,,,,,,,10.0,,0,15
48,66,1273844.0,1277448,no_ops,,,,,,,,,,,,,,0,15
49,67,1277448.0,1294720,"['bucket', 'balls']",,,,,,,,,4.0,,,,,1,16
51,69,1296828.0,1314610,['broom'],,,,,,,6.0,,,,,,,0,17
52,70,1314610.0,1322090,"['broom', 'balls']",,,,,,,6.0,,5.0,,,,,0,17
53,71,1322090.0,1322906,"['broom', 'balls', 'bucket']",,,,,,,6.0,,5.0,,,,8.0,0,17
54,72,1322906.0,1328346,['broom'],,,,,,,6.0,,,,,,,0,17
55,73,1328346.0,1335690,no_ops,,,,,,,,,,,,,,0,17
56,74,1335690.0,1337288,['balls'],,,,,,,,,6.0,,,,,1,18
57,75,1337288.0,1341028,no_ops,,,,,,,,,,,,,,0,19
58,76,1341028.0,1350786,"['bucket', 'balls']",,,,,,,,,7.0,,,,,1,20
60,78,1350786.0,1354764,no_ops,,,,,,,,,,,,,,0,21
61,79,1354764.0,1374450,"['food', 'grocery_cart']",,,,,,,,,,,12.0,,,0,21
62,82,1374450.0,1375878,"['food', 'stroller']",,,,,,,,,,10.0,,11.0,,0,21
63,83,1375878.0,1390804,['stroller'],,,,,,,,,,,,11.0,,0,21
64,84,1392674.0,1410286,"['bucket', 'balls']",,,,,,,,,8.0,,,,,1,22
68,88,1410286.0,1413822,no_ops,,,,,,,,,,,,,,0,23
69,89,1413822.0,1414536,['stroller'],,,,,,,,,,,,12.0,,0,23
