,0,1,2,3,4,5
0,0.04,0.49,0.15,0.01,0.01,0.3
1,0.01,0.46,0.16,0.05,0.02,0.31
2,0.01,0.11,0.47,0.08,0.02,0.31
3,0.01,0.06,0.17,0.56,0.08,0.11
4,0.02,0.2,0.4,0.08,0.04,0.26
5,0.02,0.26,0.23,0.06,0.0,0.42
6,0.46,0.0,0.0,0.08,0.46,0.0
