,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.052,0.414,0.103,0.069,0.052,0.31
State 1,0.0,0.293,0.259,0.121,0.034,0.293
State 2,0.0,0.016,0.403,0.194,0.048,0.339
State 3,0.031,0.042,0.135,0.625,0.094,0.073
State 4,0.022,0.211,0.356,0.2,0.044,0.167
State 5,0.0,0.186,0.288,0.153,0.0,0.373
