,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.0,0.308,0.308,0.0,0.051,0.333
State 1,0.0,0.351,0.351,0.108,0.0,0.189
State 2,0.009,0.105,0.596,0.026,0.009,0.254
State 3,0.0,0.138,0.448,0.138,0.069,0.207
State 4,0.009,0.053,0.522,0.088,0.044,0.283
State 5,0.012,0.128,0.221,0.058,0.0,0.581
