,State 0,State 1,State 2,State 3,State 4,State 5
State 0,0.012,0.432,0.198,0.0,0.0,0.358
State 1,0.009,0.538,0.085,0.038,0.009,0.321
State 2,0.043,0.174,0.304,0.109,0.022,0.348
State 3,0.0,0.103,0.138,0.586,0.103,0.069
State 4,0.017,0.407,0.322,0.034,0.0,0.22
State 5,0.044,0.382,0.147,0.074,0.0,0.353
